iter	Passed	Remaining
0	21	21312
1	38	19030
2	53	17888
3	70	17466
4	84	16898
5	99	16540
6	114	16280
7	128	15960
8	139	15394
9	146	14469
10	152	13732
11	159	13142
12	165	12585
13	172	12162
14	178	11738
15	184	11371
16	191	11049
17	197	10763
18	203	10506
19	209	10272
20	215	10063
21	222	9883
22	228	9707
23	234	9552
24	242	9473
25	253	9508
26	263	9503
27	274	9512
28	281	9424
29	287	9311
30	294	9213
31	301	9122
32	307	9021
33	314	8926
34	320	8840
35	326	8756
36	333	8673
37	339	8595
38	345	8522
39	355	8534
40	363	8491
41	373	8520
42	383	8534
43	392	8521
44	401	8517
45	408	8479
46	415	8416
47	421	8358
48	427	8298
49	433	8243
50	440	8191
51	446	8137
52	452	8087
53	459	8046
54	465	7999
55	471	7953
56	478	7910
57	484	7864
58	490	7829
59	497	7788
60	503	7748
61	509	7710
62	515	7674
63	525	7686
64	535	7707
65	545	7721
66	553	7705
67	559	7672
68	566	7638
69	572	7601
70	578	7568
71	584	7535
72	590	7504
73	597	7478
74	603	7445
75	609	7413
76	615	7383
77	622	7353
78	628	7325
79	634	7296
80	640	7270
81	647	7244
82	653	7222
83	659	7195
84	666	7169
85	672	7142
86	678	7117
87	684	7096
88	690	7072
89	697	7048
90	703	7031
91	710	7008
92	716	6986
93	722	6965
94	728	6942
95	735	6921
96	741	6899
97	747	6880
98	753	6859
99	760	6840
100	771	6864
101	781	6878
102	790	6884
103	799	6888
104	805	6867
105	812	6851
106	818	6831
107	824	6811
108	830	6792
109	837	6776
110	844	6763
111	850	6745
112	856	6726
113	863	6708
114	869	6689
115	875	6671
116	881	6654
117	887	6636
118	893	6618
119	900	6602
120	907	6588
121	913	6573
122	919	6557
123	925	6540
124	931	6522
125	938	6507
126	944	6491
127	950	6475
128	957	6465
129	963	6450
130	974	6462
131	985	6480
132	993	6478
133	1000	6464
134	1006	6449
135	1012	6434
136	1018	6418
137	1025	6404
138	1031	6388
139	1037	6373
140	1043	6358
141	1050	6344
142	1056	6334
143	1063	6319
144	1070	6309
145	1077	6304
146	1084	6291
147	1090	6276
148	1096	6262
149	1102	6248
150	1112	6253
151	1122	6263
152	1130	6259
153	1140	6266
154	1149	6267
155	1155	6253
156	1163	6245
157	1203	6415
158	1213	6421
159	1223	6422
160	1235	6436
161	1243	6430
162	1251	6427
163	1260	6425
164	1269	6423
165	1278	6424
166	1308	6525
167	1322	6549
168	1331	6546
169	1340	6544
170	1347	6534
171	1356	6529
172	1364	6524
173	1372	6517
174	1382	6517
175	1390	6509
176	1400	6513
177	1410	6513
178	1420	6512
179	1427	6503
180	1443	6530
181	1455	6543
182	1465	6542
183	1472	6532
184	1479	6516
185	1485	6499
186	1491	6483
187	1497	6467
188	1503	6452
189	1510	6437
190	1516	6422
191	1522	6406
192	1528	6391
193	1534	6375
194	1540	6360
195	1546	6344
196	1552	6329
197	1559	6316
198	1565	6302
199	1572	6288
200	1578	6273
201	1584	6258
202	1590	6243
203	1596	6231
204	1602	6216
205	1609	6201
206	1615	6187
207	1621	6172
208	1627	6160
209	1633	6146
210	1639	6131
211	1645	6117
212	1652	6104
213	1658	6090
214	1664	6078
215	1678	6090
216	1689	6095
217	1698	6094
218	1708	6091
219	1718	6094
220	1729	6094
221	1735	6081
222	1741	6066
223	1747	6053
224	1753	6039
225	1759	6026
226	1765	6012
227	1771	5998
228	1778	5986
229	1789	5991
230	1799	5989
231	1807	5983
232	1814	5973
233	1821	5961
234	1827	5948
235	1834	5937
236	1844	5938
237	1854	5936
238	1870	5954
239	1884	5968
240	1894	5965
241	1902	5957
242	1910	5951
243	1920	5950
244	1928	5943
245	1936	5936
246	1946	5934
247	1956	5932
248	1964	5926
249	1972	5918
250	1980	5909
251	1987	5898
252	1994	5888
253	2002	5881
254	2010	5875
255	2020	5872
256	2029	5866
257	2037	5858
258	2043	5846
259	2049	5833
260	2055	5820
261	2061	5807
262	2067	5794
263	2074	5782
264	2080	5769
265	2087	5758
266	2093	5746
267	2099	5733
268	2105	5720
269	2111	5707
270	2117	5695
271	2123	5683
272	2129	5671
273	2135	5658
274	2142	5647
275	2148	5635
276	2154	5622
277	2160	5610
278	2166	5598
279	2172	5586
280	2178	5574
281	2185	5563
282	2191	5551
283	2197	5540
284	2203	5528
285	2209	5516
286	2215	5504
287	2221	5493
288	2227	5481
289	2234	5470
290	2240	5458
291	2246	5447
292	2253	5436
293	2259	5424
294	2265	5413
295	2271	5401
296	2281	5400
297	2291	5398
298	2300	5393
299	2311	5393
300	2321	5391
301	2331	5389
302	2341	5387
303	2348	5377
304	2354	5365
305	2361	5354
306	2367	5343
307	2373	5332
308	2379	5320
309	2385	5309
310	2391	5298
311	2397	5287
312	2403	5275
313	2409	5264
314	2416	5254
315	2422	5243
316	2428	5232
317	2434	5221
318	2441	5211
319	2447	5200
320	2453	5189
321	2459	5178
322	2465	5167
323	2471	5156
324	2477	5145
325	2483	5134
326	2489	5124
327	2496	5113
328	2502	5103
329	2508	5092
330	2514	5082
331	2520	5071
332	2526	5060
333	2532	5050
334	2538	5039
335	2544	5029
336	2551	5019
337	2557	5008
338	2563	4998
339	2570	4988
340	2575	4978
341	2581	4967
342	2587	4957
343	2594	4946
344	2599	4936
345	2606	4925
346	2613	4917
347	2619	4907
348	2625	4897
349	2631	4887
350	2637	4877
351	2644	4868
352	2650	4857
353	2656	4847
354	2662	4837
355	2668	4827
356	2674	4817
357	2680	4807
358	2687	4799
359	2693	4788
360	2700	4779
361	2706	4769
362	2712	4759
363	2718	4749
364	2724	4739
365	2730	4730
366	2737	4720
367	2743	4711
368	2749	4701
369	2755	4691
370	2761	4681
371	2767	4671
372	2773	4661
373	2779	4652
374	2785	4643
375	2791	4633
376	2797	4623
377	2804	4614
378	2810	4604
379	2816	4595
380	2827	4593
381	2836	4589
382	2842	4579
383	2849	4570
384	2855	4560
385	2861	4551
386	2867	4542
387	2873	4532
388	2879	4522
389	2885	4513
390	2891	4503
391	2897	4494
392	2903	4485
393	2909	4475
394	2916	4466
395	2922	4457
396	2928	4447
397	2934	4438
398	2940	4429
399	2946	4419
400	2952	4410
401	2958	4401
402	2964	4391
403	2970	4382
404	2977	4374
405	2983	4365
406	2990	4356
407	2996	4347
408	3002	4338
409	3008	4328
410	3014	4319
411	3020	4310
412	3026	4301
413	3032	4292
414	3038	4283
415	3044	4274
416	3051	4265
417	3057	4256
418	3063	4247
419	3069	4238
420	3075	4229
421	3081	4220
422	3087	4211
423	3093	4202
424	3099	4192
425	3105	4184
426	3111	4175
427	3117	4166
428	3123	4157
429	3129	4148
430	3135	4140
431	3142	4131
432	3148	4122
433	3154	4113
434	3161	4105
435	3167	4097
436	3173	4088
437	3179	4079
438	3185	4070
439	3191	4062
440	3197	4053
441	3203	4044
442	3209	4035
443	3215	4027
444	3221	4018
445	3227	4009
446	3234	4001
447	3240	3992
448	3246	3984
449	3252	3975
450	3258	3967
451	3265	3959
452	3271	3950
453	3277	3942
454	3284	3933
455	3290	3925
456	3297	3917
457	3307	3914
458	3317	3910
459	3327	3906
460	3339	3904
461	3352	3904
462	3366	3904
463	3397	3925
464	3418	3933
465	3433	3934
466	3446	3934
467	3460	3933
468	3474	3933
469	3486	3931
470	3498	3929
471	3512	3929
472	3526	3928
473	3536	3924
474	3542	3915
475	3548	3906
476	3555	3898
477	3561	3889
478	3567	3880
479	3574	3872
480	3582	3865
481	3589	3858
482	3596	3849
483	3602	3840
484	3608	3831
485	3614	3822
486	3627	3820
487	3637	3816
488	3646	3810
489	3652	3801
490	3658	3792
491	3664	3783
492	3670	3774
