iter	Passed	Remaining
0	53	4124409
1	99	3844326
2	132	3409988
3	165	3187664
4	198	3061246
5	231	2966806
6	264	2910169
7	298	2869453
8	334	2858958
9	367	2829499
10	400	2804894
11	434	2786027
12	470	2785968
13	508	2793858
14	541	2778991
15	573	2757239
16	605	2740806
17	638	2730349
18	671	2721080
19	711	2738221
20	744	2727828
21	777	2718678
22	809	2709568
23	841	2700186
24	877	2702085
25	912	2700524
26	943	2689760
27	977	2686688
28	1014	2691413
29	1048	2688511
30	1082	2686629
31	1115	2683332
32	1152	2687812
33	1193	2700379
34	1228	2700486
35	1266	2706711
36	1310	2725645
37	1354	2743570
38	1408	2778093
39	1453	2796425
40	1499	2814890
41	1540	2821775
42	1571	2811334
43	1604	2805627
44	1637	2800257
45	1670	2793906
46	1702	2787909
47	1734	2780406
48	1766	2774500
49	1798	2767463
50	1838	2773579
51	1872	2770944
52	1906	2768051
53	1940	2764047
54	1977	2766171
55	2021	2777004
56	2054	2772453
57	2085	2765601
58	2118	2762805
59	2151	2758677
60	2195	2769077
61	2225	2761509
62	2259	2758959
63	2292	2755736
64	2327	2754116
65	2362	2753193
66	2396	2751556
67	2427	2746511
68	2459	2741277
69	2501	2748414
70	2533	2745039
71	2566	2742264
72	2599	2739423
73	2631	2735250
74	2664	2732393
75	2696	2729186
76	2728	2725265
77	2761	2722781
78	2795	2721504
79	2827	2718439
80	2860	2715980
81	2893	2713523
82	2931	2716647
83	2965	2715382
84	3001	2715410
85	3042	2721110
86	3076	2719123
87	3110	2717908
88	3144	2716709
89	3177	2715046
90	3210	2712696
91	3243	2710701
92	3276	2709536
93	3309	2707188
94	3342	2705568
95	3383	2710183
96	3416	2708265
97	3448	2705587
98	3481	2704248
99	3520	2706571
100	3559	2709583
101	3599	2712969
102	3640	2717603
103	3685	2724514
104	3729	2731191
105	3767	2732555
106	3806	2734946
107	3853	2743427
108	3900	2750984
109	3934	2749612
110	3966	2746937
111	4006	2749892
112	4037	2746980
113	4071	2745903
114	4104	2743898
115	4135	2740896
116	4168	2738677
117	4199	2735759
118	4233	2734722
119	4266	2733288
120	4301	2732371
121	4341	2735252
122	4378	2736123
123	4412	2735510
124	4444	2732767
125	4476	2730690
126	4510	2729645
127	4550	2732354
128	4583	2730819
129	4617	2729964
130	4649	2728073
131	4683	2727173
132	4718	2726489
133	4750	2724457
134	4783	2723094
135	4816	2721965
136	4855	2723990
137	4888	2722139
138	4926	2724000
139	4970	2728518
140	5004	2727655
141	5038	2726803
142	5073	2726373
143	5105	2724572
144	5138	2723334
145	5181	2727032
146	5214	2725946
147	5246	2724105
148	5283	2724620
149	5317	2723857
150	5349	2722153
151	5381	2720437
152	5414	2719283
153	5448	2718232
154	5481	2717265
155	5514	2715896
156	5548	2715232
157	5581	2714308
158	5613	2712589
159	5645	2710673
160	5676	2708577
161	5711	2708631
162	5753	2711921
163	5798	2716164
164	5841	2719864
165	5881	2722086
166	5920	2723467
167	5962	2726371
168	6008	2731235
169	6045	2731916
170	6077	2730375
171	6110	2729037
172	6144	2728311
173	6176	2726930
174	6211	2726593
175	6244	2725524
176	6277	2724032
177	6309	2722737
178	6341	2721388
179	6374	2719892
180	6409	2720081
181	6445	2720303
182	6479	2719296
183	6511	2717925
184	6543	2716515
185	6577	2715971
186	6610	2715019
187	6643	2714053
188	6680	2714547
189	6712	2713171
190	6744	2711735
191	6775	2710167
192	6808	2709162
193	6840	2707947
194	6873	2706770
195	6908	2706741
196	6940	2705518
197	6972	2704308
198	7006	2703525
199	7038	2702262
200	7070	2701324
201	7103	2700287
202	7138	2700136
203	7170	2698838
204	7202	2697719
205	7234	2696675
206	7269	2696366
207	7301	2695338
208	7334	2694392
209	7373	2695967
210	7413	2697472
211	7447	2697099
212	7478	2695522
213	7511	2694849
214	7544	2694015
215	7579	2693940
216	7614	2693884
217	7648	2693328
218	7679	2692155
219	7711	2691098
220	7745	2690355
221	7778	2689649
222	7810	2688817
223	7845	2688585
