,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,importance
0,quantity-mean,5,3,3,6,20,26,3,13,25,6,11.0
1,quantity-max,1,2,2,4,13,9,1,7,5,5,4.9
2,quantity-min,9,5,1,4,14,12,1,7,9,2,6.4
3,quantity-sum,10,2,0,2,26,10,0,14,11,4,7.9
4,quantity-count,15,13,6,7,23,20,2,19,20,7,13.2
5,quantity-std,8,10,5,8,36,29,1,15,19,7,13.8
6,quantity-skew,18,19,5,16,70,59,1,36,31,11,26.6
7,price-mean,18,16,7,20,60,62,7,31,60,8,28.9
8,price-max,4,4,2,3,9,9,0,4,11,0,4.6
9,price-min,2,4,1,4,19,26,1,11,13,2,8.3
10,price-sum,7,5,2,6,19,11,0,5,12,4,7.1
11,price-count,1,1,1,2,4,5,0,0,4,1,1.9
12,price-std,8,16,6,12,39,42,2,28,33,8,19.4
13,price-skew,12,13,5,13,73,60,1,39,64,10,29.0
14,total-mean,8,8,2,8,37,34,2,15,28,7,14.9
15,total-max,6,6,2,10,33,15,3,12,17,6,11.0
16,total-min,13,9,3,17,43,47,2,28,32,11,20.5
17,total-sum,10,5,7,6,25,24,3,11,18,8,11.7
18,total-count,0,0,0,0,0,1,0,0,2,0,0.3
19,total-std,4,10,2,10,26,24,3,13,20,8,12.0
20,total-skew,15,9,6,9,60,36,1,33,31,6,20.6
21,cumsum_total_by_cust_id-mean,10,7,3,10,20,18,2,15,14,7,10.6
22,cumsum_total_by_cust_id-max,8,5,0,5,14,14,0,6,5,4,6.1
23,cumsum_total_by_cust_id-min,13,19,3,11,44,53,2,22,42,4,21.3
24,cumsum_total_by_cust_id-sum,7,8,7,6,25,16,4,18,16,7,11.4
25,cumsum_total_by_cust_id-count,0,1,0,0,0,0,0,0,2,0,0.3
26,cumsum_total_by_cust_id-std,10,3,5,8,15,12,0,10,9,3,7.5
27,cumsum_total_by_cust_id-skew,18,14,6,13,59,47,2,32,49,12,25.2
28,cumsum_quantity_by_cust_id-mean,10,11,5,8,18,14,1,9,20,6,10.2
29,cumsum_quantity_by_cust_id-max,4,8,3,2,12,9,1,11,9,2,6.1
30,cumsum_quantity_by_cust_id-min,6,3,1,8,15,22,0,14,13,2,8.4
31,cumsum_quantity_by_cust_id-sum,6,8,7,12,25,22,6,19,22,9,13.6
32,cumsum_quantity_by_cust_id-count,0,0,0,0,0,1,0,0,0,0,0.1
33,cumsum_quantity_by_cust_id-std,4,6,5,5,21,13,1,5,14,4,7.8
34,cumsum_quantity_by_cust_id-skew,15,16,6,11,58,46,4,35,39,9,23.9
35,cumsum_price_by_cust_id-mean,0,4,2,3,19,11,1,7,12,5,6.4
36,cumsum_price_by_cust_id-max,1,1,0,0,7,4,0,3,5,1,2.2
37,cumsum_price_by_cust_id-min,5,9,7,3,32,18,3,13,37,6,13.3
38,cumsum_price_by_cust_id-sum,4,4,3,4,23,14,0,7,16,7,8.2
39,cumsum_price_by_cust_id-count,0,0,0,0,0,0,0,0,0,0,0.0
40,cumsum_price_by_cust_id-std,5,5,3,4,18,13,2,11,14,4,7.9
41,cumsum_price_by_cust_id-skew,17,17,14,15,69,59,2,41,49,14,29.7
42,cumsum_total_by_prod_id-mean,6,13,4,12,38,37,2,18,27,8,16.5
43,cumsum_total_by_prod_id-max,11,14,5,16,47,38,5,19,35,12,20.2
44,cumsum_total_by_prod_id-min,10,8,5,15,35,32,3,23,24,5,16.0
45,cumsum_total_by_prod_id-sum,21,19,13,20,33,47,9,21,39,21,24.3
46,cumsum_total_by_prod_id-count,0,0,0,0,0,0,0,0,0,0,0.0
47,cumsum_total_by_prod_id-std,5,7,5,15,46,40,0,24,30,4,17.6
48,cumsum_total_by_prod_id-skew,17,20,18,13,47,38,7,31,61,18,27.0
49,cumsum_quantity_by_prod_id-mean,16,16,4,18,49,35,4,28,46,16,23.2
50,cumsum_quantity_by_prod_id-max,18,8,8,8,47,34,2,19,25,8,17.7
51,cumsum_quantity_by_prod_id-min,11,4,5,9,36,34,4,12,28,9,15.2
52,cumsum_quantity_by_prod_id-sum,19,20,17,19,38,35,10,30,30,17,23.5
53,cumsum_quantity_by_prod_id-count,0,0,0,0,0,0,0,0,0,0,0.0
54,cumsum_quantity_by_prod_id-std,19,11,4,11,43,39,1,18,34,17,19.7
55,cumsum_quantity_by_prod_id-skew,14,17,10,12,56,42,3,29,33,10,22.6
56,cumsum_price_by_prod_id-mean,8,6,3,12,44,32,3,14,29,1,15.2
57,cumsum_price_by_prod_id-max,7,8,3,13,31,32,3,15,31,8,15.1
58,cumsum_price_by_prod_id-min,17,14,3,8,51,38,0,15,39,9,19.4
59,cumsum_price_by_prod_id-sum,7,9,3,16,45,33,2,18,22,10,16.5
60,cumsum_price_by_prod_id-count,0,0,0,0,0,0,0,0,0,0,0.0
61,cumsum_price_by_prod_id-std,9,3,6,5,36,26,0,15,30,7,13.7
62,cumsum_price_by_prod_id-skew,23,22,6,21,65,56,3,40,60,16,31.2
63,cumsum_total_by_order_id-mean,11,15,6,15,51,39,5,20,43,9,21.4
64,cumsum_total_by_order_id-max,14,13,7,8,40,31,0,24,37,12,18.6
65,cumsum_total_by_order_id-min,9,7,6,11,41,22,3,26,31,5,16.1
66,cumsum_total_by_order_id-sum,8,3,5,8,31,13,0,12,6,1,8.7
67,cumsum_total_by_order_id-count,0,0,0,0,0,0,0,0,0,0,0.0
68,cumsum_total_by_order_id-std,7,10,7,5,30,26,5,31,19,9,14.9
69,cumsum_total_by_order_id-skew,5,9,7,15,60,52,3,26,41,6,22.4
70,cumsum_quantity_by_order_id-mean,9,4,2,5,22,24,1,23,18,7,11.5
71,cumsum_quantity_by_order_id-max,13,7,3,6,39,25,3,22,18,10,14.6
72,cumsum_quantity_by_order_id-min,7,6,2,5,27,16,2,13,24,3,10.5
73,cumsum_quantity_by_order_id-sum,7,3,5,11,15,25,1,13,13,5,9.8
74,cumsum_quantity_by_order_id-count,0,0,0,0,0,0,0,0,0,0,0.0
75,cumsum_quantity_by_order_id-std,12,9,4,17,33,28,4,20,29,10,16.6
76,cumsum_quantity_by_order_id-skew,16,15,8,15,59,49,3,33,61,14,27.3
77,cumsum_price_by_order_id-mean,9,8,5,16,39,27,1,25,23,2,15.5
78,cumsum_price_by_order_id-max,6,1,3,6,25,22,2,14,15,7,10.1
79,cumsum_price_by_order_id-min,11,12,6,11,28,24,4,7,26,5,13.4
80,cumsum_price_by_order_id-sum,10,5,8,5,17,19,1,7,20,6,9.8
81,cumsum_price_by_order_id-count,0,0,0,0,0,0,0,0,0,0,0.0
82,cumsum_price_by_order_id-std,12,5,1,14,20,30,1,18,26,3,13.0
83,cumsum_price_by_order_id-skew,20,14,1,16,61,51,2,44,48,12,26.9
84,order_id-nunique,17,12,9,15,29,29,6,22,27,12,17.8
85,product_id-nunique,9,7,1,8,37,24,1,8,25,9,12.9
86,order_ts-first,28,25,9,21,63,54,6,32,68,15,32.1
87,order_ts-last,43,56,31,44,104,94,15,70,93,45,59.5
88,order_ts_diff-mean,7,13,7,11,27,18,0,16,26,8,13.3
89,order_ts_diff-max,26,25,17,27,60,61,10,38,52,29,34.5
90,order_ts_diff-min,0,0,0,0,0,0,0,0,0,0,0.0
91,order_ts_diff-sum,8,10,6,12,35,25,4,18,28,8,15.4
92,order_ts_diff-count,0,0,0,0,0,0,0,0,0,0,0.0
93,order_ts_diff-std,14,12,6,12,49,35,1,17,27,10,18.3
94,order_ts_diff-skew,15,15,7,11,43,30,4,23,38,8,19.4
95,quantity_diff-mean,15,13,6,16,50,35,4,24,36,13,21.2
96,quantity_diff-max,6,7,1,13,32,27,0,19,18,4,12.7
97,quantity_diff-min,8,3,2,6,28,33,3,16,29,12,14.0
98,quantity_diff-sum,12,7,5,12,36,32,4,18,24,9,15.9
99,quantity_diff-count,0,0,0,0,0,0,0,0,0,0,0.0
100,quantity_diff-std,4,14,5,11,44,32,0,14,38,9,17.1
101,quantity_diff-skew,19,21,9,18,72,70,12,41,61,13,33.6
