,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,importance
0,order_ts-first,81,31,101,53,60,114,32,33,78,41,62.4
1,order_ts-last,94,23,144,77,85,123,50,33,103,64,79.6
2,order_ts_diff-mean,16,9,33,22,18,33,7,10,23,11,18.2
3,order_ts_diff-max,60,19,76,49,60,97,32,26,49,50,51.8
4,order_ts_diff-min,0,0,0,0,0,0,0,0,0,0,0.0
5,order_ts_diff-sum,29,14,59,34,40,63,24,18,31,23,33.5
6,order_ts_diff-count,55,21,96,58,58,89,31,34,71,41,55.4
7,order_ts_diff-std,34,14,54,32,42,51,32,19,46,20,34.4
8,order_ts_diff-skew,39,9,49,16,20,45,13,13,31,17,25.2
9,quantity_diff-mean,27,7,60,35,30,74,15,6,37,20,31.1
10,quantity_diff-max,21,7,37,32,33,42,9,7,23,16,22.7
11,quantity_diff-min,40,7,60,29,27,79,13,12,44,17,32.8
12,quantity_diff-sum,31,10,47,31,36,39,11,18,28,28,27.9
13,quantity_diff-count,12,9,20,20,15,33,11,11,15,12,15.8
14,quantity_diff-std,49,10,78,40,38,64,18,13,56,23,38.9
15,quantity_diff-skew,52,12,110,58,54,98,24,22,69,31,53.0
16,price_diff-mean,45,8,68,55,34,93,18,20,66,23,43.0
17,price_diff-max,30,10,56,28,38,75,14,6,41,22,32.0
18,price_diff-min,24,9,50,31,28,78,16,9,36,18,29.9
19,price_diff-sum,43,4,59,23,29,59,14,10,51,15,30.7
20,price_diff-count,3,6,5,3,2,3,6,4,3,2,3.7
21,price_diff-std,39,8,69,33,41,77,16,22,65,20,39.0
22,price_diff-skew,44,13,101,47,51,101,16,24,76,24,49.7
23,total_diff-mean,30,7,57,25,29,63,13,11,44,18,29.7
24,total_diff-max,23,5,55,25,24,71,8,10,35,12,26.8
25,total_diff-min,49,4,63,38,35,81,15,13,50,23,37.1
26,total_diff-sum,26,7,46,23,21,40,10,14,43,11,24.1
27,total_diff-count,1,0,0,0,1,1,0,0,1,0,0.4
28,total_diff-std,44,10,78,46,43,99,26,20,48,31,44.5
29,total_diff-skew,39,7,69,27,28,95,16,12,57,27,37.7
