,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,importance
0,sparta,3,12,15,23,16,18,7,21,11,22,14.8
1,month-mode,3,13,17,25,5,14,3,15,7,16,11.8
2,year_month-mode,2,13,17,19,9,12,7,15,11,12,11.7
3,order_quantity_diff-mean,1,1,16,14,3,7,2,8,4,15,7.1
4,order_quantity_diff-max,1,6,22,14,1,3,5,4,2,8,6.6
5,order_quantity_diff-min,0,8,18,12,3,8,1,8,2,3,6.3
6,order_quantity_diff-sum,1,2,22,17,0,2,1,10,4,9,6.8
7,order_quantity_diff-count,1,6,5,15,5,7,8,12,7,9,7.5
8,order_quantity_diff-std,0,6,16,14,2,2,3,9,6,11,6.9
9,order_quantity_diff-skew,0,6,14,13,6,2,2,7,8,13,7.1
10,order_price_diff-mean,2,5,16,15,1,5,2,8,3,10,6.7
11,order_price_diff-max,0,3,12,15,6,2,2,11,5,15,7.1
12,order_price_diff-min,1,6,9,12,4,5,2,8,12,10,6.9
13,order_price_diff-sum,0,6,14,13,3,2,2,9,5,11,6.5
14,order_price_diff-count,0,0,0,2,0,2,1,1,3,1,1.0
15,order_price_diff-std,2,9,16,10,2,4,1,7,9,7,6.7
16,order_price_diff-skew,1,12,19,26,4,9,5,11,8,19,11.4
17,order_total_diff-mean,0,7,12,13,2,2,2,6,0,7,5.1
18,order_total_diff-max,0,8,13,7,2,2,0,9,5,11,5.7
19,order_total_diff-min,0,6,13,20,4,5,4,6,2,9,6.9
20,order_total_diff-sum,1,3,20,10,4,1,1,10,7,8,6.5
21,order_total_diff-count,0,0,1,0,0,0,0,2,1,2,0.6
22,order_total_diff-std,3,8,20,11,4,6,3,10,4,12,8.1
23,order_total_diff-skew,1,14,29,24,6,17,3,16,13,13,13.6
24,order_ts-first,2,18,49,45,10,23,12,30,26,37,25.2
25,order_ts-last,0,18,32,26,14,25,5,33,16,23,19.2
26,order_ts_diff-mean,0,0,3,7,1,2,0,7,1,0,2.1
27,order_ts_diff-max,0,3,11,10,1,4,1,4,7,5,4.6
28,order_ts_diff-min,0,0,0,0,0,0,0,0,0,0,0.0
29,order_ts_diff-sum,0,12,10,6,4,0,2,8,6,11,5.9
30,order_ts_diff-count,0,6,8,5,3,1,0,8,6,4,4.1
31,order_ts_diff-std,0,2,8,8,0,0,0,6,4,9,3.7
32,order_ts_diff-skew,0,2,3,2,2,0,0,2,0,2,1.3
33,quantity_diff-mean,0,14,24,25,4,5,4,15,4,23,11.8
34,quantity_diff-max,0,4,28,11,2,5,4,6,3,10,7.3
35,quantity_diff-min,0,2,12,15,1,1,2,5,3,9,5.0
36,quantity_diff-sum,0,3,7,3,1,3,1,6,3,7,3.4
37,quantity_diff-count,0,0,2,2,0,1,0,0,0,0,0.5
38,quantity_diff-std,0,7,31,15,5,8,5,11,5,10,9.7
39,quantity_diff-skew,0,17,39,41,8,12,7,20,13,29,18.6
40,price_diff-mean,0,6,25,22,1,5,2,7,4,13,8.5
41,price_diff-max,1,8,19,12,3,6,0,9,6,12,7.6
42,price_diff-min,1,7,31,17,3,3,3,10,6,14,9.5
43,price_diff-sum,2,6,30,29,3,10,2,22,15,15,13.4
44,price_diff-count,0,0,0,0,0,0,0,0,0,0,0.0
45,price_diff-std,1,6,23,21,3,5,2,8,10,10,8.9
46,price_diff-skew,4,16,53,47,9,7,7,19,14,38,21.4
47,total_diff-mean,3,4,27,17,5,6,3,10,7,15,9.7
48,total_diff-max,0,7,21,17,4,6,4,12,4,10,8.5
49,total_diff-min,0,6,33,25,4,3,5,10,1,14,10.1
50,total_diff-sum,0,7,17,25,4,7,4,10,5,11,9.0
51,total_diff-count,0,0,0,0,0,0,0,0,0,0,0.0
52,total_diff-std,0,13,19,16,4,5,5,12,10,13,9.7
53,total_diff-skew,2,16,35,32,8,9,6,13,6,17,14.4
54,order_id-nunique,1,5,13,11,6,11,5,6,8,9,7.5
55,product_id-nunique,1,5,7,6,1,2,4,7,0,5,3.8
56,cumsum_total_by_cust_id-mean,1,8,11,13,5,3,2,4,3,8,5.8
57,cumsum_total_by_cust_id-max,1,3,15,11,7,4,2,5,5,4,5.7
58,cumsum_total_by_cust_id-min,0,17,25,28,5,15,4,16,8,21,13.9
59,cumsum_total_by_cust_id-sum,1,1,16,6,2,6,1,6,2,10,5.1
60,cumsum_total_by_cust_id-count,0,0,0,0,0,0,0,0,0,0,0.0
61,cumsum_total_by_cust_id-std,2,10,17,11,6,12,1,7,9,11,8.6
62,cumsum_total_by_cust_id-skew,3,15,34,37,5,12,4,18,10,34,17.2
63,cumsum_quantity_by_cust_id-mean,0,8,14,8,1,2,6,8,3,11,6.1
64,cumsum_quantity_by_cust_id-max,0,4,6,8,3,1,0,6,3,4,3.5
65,cumsum_quantity_by_cust_id-min,1,10,12,15,6,8,7,6,7,8,8.0
66,cumsum_quantity_by_cust_id-sum,2,4,17,12,2,10,2,8,3,6,6.6
67,cumsum_quantity_by_cust_id-count,0,0,0,0,0,0,0,0,0,0,0.0
68,cumsum_quantity_by_cust_id-std,0,3,6,10,1,4,0,3,3,5,3.5
69,cumsum_quantity_by_cust_id-skew,1,8,27,19,4,11,1,12,6,14,10.3
70,cumsum_price_by_cust_id-mean,0,3,7,11,2,2,3,5,2,9,4.4
71,cumsum_price_by_cust_id-max,0,3,7,8,1,4,1,2,5,7,3.8
72,cumsum_price_by_cust_id-min,0,11,18,11,0,6,5,9,9,17,8.6
73,cumsum_price_by_cust_id-sum,0,1,8,7,3,2,2,6,5,5,3.9
74,cumsum_price_by_cust_id-count,0,0,0,0,0,0,0,0,0,0,0.0
75,cumsum_price_by_cust_id-std,0,2,12,20,1,8,2,7,3,8,6.3
76,cumsum_price_by_cust_id-skew,1,10,34,27,7,14,1,18,4,17,13.3
77,cumsum_total_by_prod_id-mean,1,10,16,22,4,8,3,7,8,14,9.3
78,cumsum_total_by_prod_id-max,4,19,31,31,9,19,10,21,11,30,18.5
79,cumsum_total_by_prod_id-min,1,7,25,22,3,6,0,9,6,12,9.1
80,cumsum_total_by_prod_id-sum,2,17,24,14,12,19,10,11,15,20,14.4
81,cumsum_total_by_prod_id-count,0,0,0,0,0,0,0,0,0,0,0.0
82,cumsum_total_by_prod_id-std,0,5,21,25,3,4,3,12,4,13,9.0
83,cumsum_total_by_prod_id-skew,1,7,16,23,6,11,3,12,13,17,10.9
84,cumsum_quantity_by_prod_id-mean,1,8,25,18,7,9,7,13,13,19,12.0
85,cumsum_quantity_by_prod_id-max,2,3,10,7,6,4,2,7,4,8,5.3
86,cumsum_quantity_by_prod_id-min,0,11,31,33,0,13,3,14,9,24,13.8
87,cumsum_quantity_by_prod_id-sum,4,11,17,24,11,15,11,15,9,21,13.8
88,cumsum_quantity_by_prod_id-count,0,0,0,0,0,0,0,0,0,0,0.0
89,cumsum_quantity_by_prod_id-std,1,14,20,20,11,9,10,16,11,20,13.2
90,cumsum_quantity_by_prod_id-skew,1,16,24,37,9,8,5,25,12,23,16.0
91,cumsum_price_by_prod_id-mean,1,9,19,11,7,4,2,7,7,9,7.6
92,cumsum_price_by_prod_id-max,0,3,5,6,0,1,1,0,3,2,2.1
93,cumsum_price_by_prod_id-min,2,13,15,18,6,7,5,22,8,16,11.2
94,cumsum_price_by_prod_id-sum,5,15,34,20,9,13,12,18,14,18,15.8
95,cumsum_price_by_prod_id-count,0,0,0,0,0,0,0,0,0,0,0.0
96,cumsum_price_by_prod_id-std,4,15,21,17,6,14,7,15,7,10,11.6
97,cumsum_price_by_prod_id-skew,0,10,13,14,2,6,3,17,9,25,9.9
98,cumsum_total_by_order_id-mean,2,7,34,35,2,11,1,14,6,17,12.9
99,cumsum_total_by_order_id-max,1,14,17,13,4,12,1,9,6,18,9.5
100,cumsum_total_by_order_id-min,0,8,26,27,7,5,2,8,10,12,10.5
101,cumsum_total_by_order_id-sum,4,3,19,12,3,4,1,11,3,12,7.2
102,cumsum_total_by_order_id-count,0,0,0,0,0,0,0,0,0,0,0.0
103,cumsum_total_by_order_id-std,2,11,19,24,4,11,5,8,3,19,10.6
104,cumsum_total_by_order_id-skew,2,9,33,20,5,9,1,18,12,25,13.4
105,cumsum_quantity_by_order_id-mean,2,0,14,20,7,13,2,6,4,11,7.9
106,cumsum_quantity_by_order_id-max,0,6,13,15,3,4,2,8,3,9,6.3
107,cumsum_quantity_by_order_id-min,1,6,15,14,2,7,2,11,4,15,7.7
108,cumsum_quantity_by_order_id-sum,1,5,13,17,1,6,2,9,6,11,7.1
109,cumsum_quantity_by_order_id-count,0,0,0,0,0,0,0,0,0,0,0.0
110,cumsum_quantity_by_order_id-std,0,5,12,16,2,7,2,16,4,17,8.1
111,cumsum_quantity_by_order_id-skew,1,12,30,37,8,13,3,23,13,33,17.3
112,cumsum_price_by_order_id-mean,1,5,29,24,7,7,2,14,10,18,11.7
113,cumsum_price_by_order_id-max,0,1,15,15,3,3,3,11,7,8,6.6
114,cumsum_price_by_order_id-min,0,5,23,13,4,6,2,10,2,10,7.5
115,cumsum_price_by_order_id-sum,1,8,9,18,5,6,3,7,2,4,6.3
116,cumsum_price_by_order_id-count,0,0,0,0,0,0,0,0,0,0,0.0
117,cumsum_price_by_order_id-std,0,7,8,14,0,2,3,4,5,9,5.2
118,cumsum_price_by_order_id-skew,2,16,35,31,9,10,4,22,11,25,16.5
119,quantity-mean,0,9,19,21,3,7,2,5,6,10,8.2
120,quantity-max,0,1,3,3,1,2,1,0,0,4,1.5
121,quantity-min,0,2,2,9,2,1,1,3,1,3,2.4
122,quantity-sum,1,3,12,9,2,3,3,5,3,2,4.3
123,quantity-count,0,0,0,0,0,0,0,0,0,0,0.0
124,quantity-std,0,5,18,17,2,6,3,12,9,13,8.5
125,quantity-skew,1,11,27,40,6,6,2,17,7,21,13.8
126,price-mean,0,7,24,25,7,6,3,22,12,15,12.1
127,price-max,0,4,7,5,4,2,1,0,1,5,2.9
128,price-min,0,3,13,13,2,2,1,4,0,2,4.0
129,price-sum,0,2,2,2,0,0,0,0,3,0,0.9
130,price-count,0,0,0,0,0,0,0,0,0,0,0.0
131,price-std,6,6,22,16,2,7,2,12,2,15,9.0
132,price-skew,2,12,39,42,9,10,6,21,6,22,16.9
133,total-mean,2,5,24,17,1,9,5,10,4,18,9.5
134,total-max,0,8,14,17,2,6,3,5,4,11,7.0
135,total-min,1,9,22,15,4,15,3,14,5,17,10.5
136,total-sum,0,4,16,17,2,5,6,7,8,5,7.0
137,total-count,0,0,0,0,0,0,0,0,0,0,0.0
138,total-std,2,7,24,21,2,5,3,5,4,12,8.5
139,total-skew,1,10,29,20,5,6,1,13,9,14,10.8
