,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,importance
0,sparta,12,25,2,18,41,9,5,27,20,14,17.3
1,month-mode,5,20,1,10,28,2,2,23,20,9,12.0
2,year_month-mode,9,25,3,16,31,5,4,18,25,5,14.1
3,order_ts-first,11,39,3,26,65,6,3,34,48,21,25.6
4,order_ts-last,14,35,1,28,36,5,3,39,38,17,21.6
5,order_ts_diff-mean,0,3,0,3,12,1,1,5,4,0,2.9
6,order_ts_diff-max,5,12,1,8,17,6,3,13,18,7,9.0
7,order_ts_diff-min,0,0,0,0,0,0,0,0,0,0,0.0
8,order_ts_diff-sum,1,8,0,1,17,1,0,14,8,2,5.2
9,order_ts_diff-count,4,10,0,7,11,2,0,11,8,1,5.4
10,order_ts_diff-std,0,6,0,6,12,0,0,13,5,7,4.9
11,order_ts_diff-skew,0,3,0,0,1,0,0,4,2,2,1.2
12,quantity_diff-mean,5,17,0,6,41,1,2,24,25,4,12.5
13,quantity_diff-max,1,25,1,11,25,3,1,14,15,5,10.1
14,quantity_diff-min,5,22,0,4,33,0,0,12,16,4,9.6
15,quantity_diff-sum,2,7,0,2,7,1,0,10,11,0,4.0
16,quantity_diff-count,0,1,0,1,2,0,0,1,1,2,0.8
17,quantity_diff-std,3,22,0,5,27,2,2,19,20,4,10.4
18,quantity_diff-skew,7,33,0,19,54,6,4,37,30,9,19.9
19,price_diff-mean,2,32,0,13,33,3,2,24,25,5,13.9
20,price_diff-max,4,23,0,12,38,1,0,19,15,0,11.2
21,price_diff-min,3,23,4,16,43,0,3,23,24,5,14.4
22,price_diff-sum,4,35,1,14,45,5,2,25,30,7,16.8
23,price_diff-count,0,0,0,0,0,0,0,0,0,0,0.0
24,price_diff-std,6,21,1,10,42,5,2,18,30,9,14.4
25,price_diff-skew,4,31,2,21,62,1,4,37,45,8,21.5
26,total_diff-mean,5,20,0,11,33,2,5,6,20,7,10.9
27,total_diff-max,4,19,0,6,35,2,3,20,17,3,10.9
28,total_diff-min,8,26,1,12,43,1,3,17,18,5,13.4
29,total_diff-sum,3,24,0,11,46,5,2,25,23,13,15.2
30,total_diff-count,0,0,0,0,0,0,0,0,0,0,0.0
31,total_diff-std,3,22,2,5,29,1,0,22,21,1,10.6
32,total_diff-skew,3,40,3,12,65,2,3,32,41,7,20.8
33,order_id-nunique,5,21,3,18,28,4,7,24,18,12,14.0
34,product_id-nunique,2,10,0,6,14,2,0,10,8,2,5.4
35,cumsum_total_by_cust_id-mean,7,16,1,9,18,3,2,11,16,4,8.7
36,cumsum_total_by_cust_id-max,2,8,1,7,13,2,1,15,10,0,5.9
37,cumsum_total_by_cust_id-min,5,41,2,17,51,7,1,18,33,13,18.8
38,cumsum_total_by_cust_id-sum,3,8,0,3,15,2,1,9,9,2,5.2
39,cumsum_total_by_cust_id-count,0,0,0,0,0,0,0,0,0,0,0.0
40,cumsum_total_by_cust_id-std,6,23,4,11,17,4,0,14,19,6,10.4
41,cumsum_total_by_cust_id-skew,7,35,2,24,40,5,4,22,29,11,17.9
42,cumsum_quantity_by_cust_id-mean,5,15,0,8,23,3,1,12,16,6,8.9
43,cumsum_quantity_by_cust_id-max,4,12,0,2,11,3,2,6,8,4,5.2
44,cumsum_quantity_by_cust_id-min,3,9,0,12,17,4,2,13,13,4,7.7
45,cumsum_quantity_by_cust_id-sum,1,10,3,10,17,2,3,8,9,3,6.6
46,cumsum_quantity_by_cust_id-count,0,0,0,0,0,0,0,0,0,0,0.0
47,cumsum_quantity_by_cust_id-std,0,7,1,11,14,0,2,8,10,0,5.3
48,cumsum_quantity_by_cust_id-skew,3,34,0,25,53,1,1,28,28,4,17.7
49,cumsum_price_by_cust_id-mean,0,9,0,3,17,2,0,11,13,0,5.5
50,cumsum_price_by_cust_id-max,0,14,2,6,15,2,2,5,15,1,6.2
51,cumsum_price_by_cust_id-min,3,21,1,9,27,1,2,18,21,6,10.9
52,cumsum_price_by_cust_id-sum,4,6,1,9,17,0,1,7,17,4,6.6
53,cumsum_price_by_cust_id-count,0,0,0,0,0,0,0,0,0,0,0.0
54,cumsum_price_by_cust_id-std,4,17,0,7,21,1,1,12,15,2,8.0
55,cumsum_price_by_cust_id-skew,7,34,4,12,62,7,3,27,33,13,20.2
56,cumsum_total_by_prod_id-mean,2,22,1,12,26,3,2,14,20,5,10.7
57,cumsum_total_by_prod_id-max,11,36,4,19,43,8,4,25,27,13,19.0
58,cumsum_total_by_prod_id-min,5,17,1,9,36,0,0,16,12,0,9.6
59,cumsum_total_by_prod_id-sum,15,27,3,18,31,16,5,19,22,13,16.9
60,cumsum_total_by_prod_id-count,0,0,0,0,0,0,0,0,0,0,0.0
61,cumsum_total_by_prod_id-std,6,15,2,11,34,4,1,20,15,3,11.1
62,cumsum_total_by_prod_id-skew,5,23,1,12,34,1,1,31,22,8,13.8
63,cumsum_quantity_by_prod_id-mean,5,20,0,8,21,3,5,21,18,8,10.9
64,cumsum_quantity_by_prod_id-max,4,13,2,6,24,7,4,9,13,7,8.9
65,cumsum_quantity_by_prod_id-min,4,24,1,11,65,5,2,32,36,6,18.6
66,cumsum_quantity_by_prod_id-sum,8,19,5,20,26,7,7,23,19,11,14.5
67,cumsum_quantity_by_prod_id-count,0,0,0,0,0,0,0,0,0,0,0.0
68,cumsum_quantity_by_prod_id-std,2,31,0,11,53,2,4,18,17,6,14.4
69,cumsum_quantity_by_prod_id-skew,8,40,1,19,41,4,4,33,29,10,18.9
70,cumsum_price_by_prod_id-mean,3,12,0,7,23,2,4,17,12,7,8.7
71,cumsum_price_by_prod_id-max,0,1,0,6,6,0,0,5,8,0,2.6
72,cumsum_price_by_prod_id-min,3,24,0,11,40,4,2,23,28,4,13.9
73,cumsum_price_by_prod_id-sum,6,23,6,25,20,5,6,17,16,13,13.7
74,cumsum_price_by_prod_id-count,0,0,0,0,0,0,0,0,0,0,0.0
75,cumsum_price_by_prod_id-std,5,19,3,16,33,3,2,19,22,10,13.2
76,cumsum_price_by_prod_id-skew,9,12,2,6,24,0,1,11,11,4,8.0
77,cumsum_total_by_order_id-mean,4,31,0,16,39,5,2,23,20,8,14.8
78,cumsum_total_by_order_id-max,4,19,0,13,35,7,0,18,21,4,12.1
79,cumsum_total_by_order_id-min,8,29,1,13,50,1,2,24,23,2,15.3
80,cumsum_total_by_order_id-sum,3,19,0,7,20,3,2,17,11,5,8.7
81,cumsum_total_by_order_id-count,0,0,0,0,0,0,0,0,0,0,0.0
82,cumsum_total_by_order_id-std,5,30,2,13,33,5,3,25,21,12,14.9
83,cumsum_total_by_order_id-skew,8,30,3,16,44,1,2,33,26,9,17.2
84,cumsum_quantity_by_order_id-mean,7,13,2,9,29,3,0,16,14,4,9.7
85,cumsum_quantity_by_order_id-max,3,22,1,7,36,6,2,15,19,5,11.6
86,cumsum_quantity_by_order_id-min,4,18,1,10,28,6,1,19,17,6,11.0
87,cumsum_quantity_by_order_id-sum,4,13,0,5,27,0,1,19,13,2,8.4
88,cumsum_quantity_by_order_id-count,0,0,0,0,0,0,0,0,0,0,0.0
89,cumsum_quantity_by_order_id-std,8,17,4,12,33,3,6,26,16,2,12.7
90,cumsum_quantity_by_order_id-skew,8,31,0,17,59,4,0,42,41,9,21.1
91,cumsum_price_by_order_id-mean,5,25,1,12,26,1,4,29,30,8,14.1
92,cumsum_price_by_order_id-max,4,10,0,5,18,1,0,15,14,2,6.9
93,cumsum_price_by_order_id-min,3,15,1,6,31,1,0,14,21,3,9.5
94,cumsum_price_by_order_id-sum,4,13,2,10,23,4,2,13,14,3,8.8
95,cumsum_price_by_order_id-count,0,0,0,0,0,0,0,0,0,0,0.0
