,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,importance
0,sparta,9,18,22,17,12,16,15,20,23,33,18.5
1,month-mode,3,11,21,10,4,6,12,10,15,23,11.5
2,year_month-mode,6,13,23,8,11,11,10,12,20,23,13.7
3,order_ts-first,9,19,30,10,11,12,17,14,22,41,18.5
4,order_ts-last,11,30,31,6,5,11,17,23,34,39,20.7
5,order_ts_diff-mean,0,2,3,0,0,0,0,0,2,3,1.0
6,order_ts_diff-max,5,7,11,6,3,7,1,4,15,21,8.0
7,order_ts_diff-min,0,0,0,0,0,0,0,0,0,0,0.0
8,order_ts_diff-sum,1,2,2,0,3,1,1,0,5,6,2.1
9,order_ts_diff-count,2,4,11,4,4,3,4,3,4,4,4.3
10,order_ts_diff-std,0,4,4,0,3,0,1,3,6,14,3.5
11,order_ts_diff-skew,1,3,6,2,2,0,2,1,3,2,2.2
12,quantity_diff-mean,0,13,17,3,3,5,12,5,20,28,10.6
13,quantity_diff-max,0,6,11,3,1,3,8,3,13,22,7.0
14,quantity_diff-min,1,2,11,3,0,4,1,7,9,17,5.5
15,quantity_diff-sum,1,4,5,1,0,1,0,1,9,5,2.7
16,quantity_diff-count,0,0,1,0,0,1,0,0,2,0,0.4
17,quantity_diff-std,3,9,11,1,3,2,4,5,11,22,7.1
18,quantity_diff-skew,4,23,30,9,3,10,12,11,19,36,15.7
19,price_diff-mean,3,13,18,5,3,1,6,2,20,26,9.7
20,price_diff-max,1,15,11,10,3,4,8,9,10,30,10.1
21,price_diff-min,3,7,26,6,1,4,4,6,10,23,9.0
22,price_diff-sum,2,17,30,9,3,5,4,10,17,30,12.7
23,price_diff-count,0,0,0,0,0,0,0,0,0,1,0.1
24,price_diff-std,4,8,21,9,4,6,11,4,18,24,10.9
25,price_diff-skew,1,15,27,8,5,5,16,13,26,50,16.6
26,total_diff-mean,3,11,15,4,5,5,7,3,10,18,8.1
27,total_diff-max,3,6,8,0,3,4,7,5,12,24,7.2
28,total_diff-min,3,7,16,3,4,6,9,7,7,28,9.0
29,total_diff-sum,2,11,23,9,2,4,6,5,13,35,11.0
30,total_diff-count,0,0,0,0,0,0,0,0,0,0,0.0
31,total_diff-std,3,7,13,5,1,7,6,5,14,27,8.8
32,total_diff-skew,2,15,35,10,4,9,13,10,20,38,15.6
33,order_id-nunique,5,10,14,7,6,6,12,11,13,17,10.1
34,product_id-nunique,3,8,4,3,1,0,4,3,6,14,4.6
35,cumsum_total_by_cust_id-mean,6,8,14,3,4,3,5,7,16,14,8.0
36,cumsum_total_by_cust_id-max,0,4,10,2,4,2,6,5,11,13,5.7
37,cumsum_total_by_cust_id-min,7,22,27,7,6,10,9,12,16,31,14.7
38,cumsum_total_by_cust_id-sum,2,6,12,1,0,4,4,1,7,10,4.7
39,cumsum_total_by_cust_id-count,0,0,0,0,0,0,0,0,0,0,0.0
40,cumsum_total_by_cust_id-std,3,16,17,11,8,5,8,5,10,14,9.7
41,cumsum_total_by_cust_id-skew,5,11,24,11,4,8,12,5,26,37,14.3
42,cumsum_quantity_by_cust_id-mean,4,13,10,8,5,5,2,5,6,9,6.7
43,cumsum_quantity_by_cust_id-max,3,7,4,5,2,1,5,3,8,9,4.7
44,cumsum_quantity_by_cust_id-min,1,4,11,6,2,3,11,8,12,11,6.9
45,cumsum_quantity_by_cust_id-sum,2,6,19,0,0,6,3,7,8,16,6.7
46,cumsum_quantity_by_cust_id-count,0,0,0,0,0,0,0,0,0,0,0.0
47,cumsum_quantity_by_cust_id-std,0,2,9,1,1,1,0,1,8,13,3.6
48,cumsum_quantity_by_cust_id-skew,2,9,19,7,2,7,9,7,20,28,11.0
49,cumsum_price_by_cust_id-mean,3,6,9,3,3,3,5,2,3,13,5.0
50,cumsum_price_by_cust_id-max,0,5,7,7,1,2,4,2,6,12,4.6
51,cumsum_price_by_cust_id-min,2,7,16,3,3,3,4,5,7,26,7.6
52,cumsum_price_by_cust_id-sum,2,3,9,4,0,1,3,1,6,12,4.1
53,cumsum_price_by_cust_id-count,0,0,0,0,0,0,0,0,0,0,0.0
54,cumsum_price_by_cust_id-std,3,11,13,2,2,3,3,6,8,14,6.5
55,cumsum_price_by_cust_id-skew,6,15,21,4,6,13,9,9,20,45,14.8
56,cumsum_total_by_prod_id-mean,1,16,10,2,3,3,5,6,16,21,8.3
57,cumsum_total_by_prod_id-max,7,19,28,17,14,13,17,11,18,30,17.4
58,cumsum_total_by_prod_id-min,2,10,12,3,1,1,1,1,15,18,6.4
59,cumsum_total_by_prod_id-sum,11,20,15,9,14,14,17,14,14,23,15.1
60,cumsum_total_by_prod_id-count,0,0,0,0,0,0,0,0,0,0,0.0
61,cumsum_total_by_prod_id-std,6,4,22,3,5,5,8,8,12,16,8.9
62,cumsum_total_by_prod_id-skew,1,9,10,4,4,3,3,7,10,29,8.0
63,cumsum_quantity_by_prod_id-mean,3,12,14,6,3,3,10,9,16,17,9.3
64,cumsum_quantity_by_prod_id-max,2,12,8,5,2,5,7,6,5,19,7.1
65,cumsum_quantity_by_prod_id-min,4,7,24,9,8,4,11,8,23,27,12.5
66,cumsum_quantity_by_prod_id-sum,9,14,15,13,9,10,20,15,17,35,15.7
67,cumsum_quantity_by_prod_id-count,0,0,0,0,0,0,0,0,0,0,0.0
68,cumsum_quantity_by_prod_id-std,3,16,16,9,7,6,14,4,19,26,12.0
69,cumsum_quantity_by_prod_id-skew,5,25,23,9,7,11,13,15,23,45,17.6
