,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,importance
0,month-mode,9,5,9,1,62,10,5,9,14,2,12.6
1,year_month-mode,5,5,14,3,52,11,5,13,15,2,12.5
2,order_quantity_diff-mean,4,2,3,1,51,7,1,7,11,0,8.7
3,order_quantity_diff-max,2,0,2,0,48,1,4,4,6,3,7.0
4,order_quantity_diff-min,1,2,5,0,43,4,1,7,7,1,7.1
5,order_quantity_diff-sum,6,2,4,0,66,2,3,5,8,0,9.6
6,order_quantity_diff-count,8,6,7,6,43,11,11,15,12,4,12.3
7,order_quantity_diff-std,1,0,5,0,53,4,3,9,11,0,8.6
8,order_quantity_diff-skew,2,1,4,0,77,5,0,4,5,0,9.8
9,order_price_diff-mean,6,0,3,1,58,2,2,9,6,0,8.7
10,order_price_diff-max,5,0,4,2,42,8,1,11,10,2,8.5
11,order_price_diff-min,5,1,5,1,43,3,2,9,8,2,7.9
12,order_price_diff-sum,4,1,3,1,51,8,1,5,4,1,7.9
13,order_price_diff-count,0,0,0,0,6,1,0,0,0,0,0.7
14,order_price_diff-std,4,2,7,1,47,6,6,6,5,0,8.4
15,order_price_diff-skew,7,0,7,2,86,9,4,10,11,1,13.7
16,order_total_diff-mean,3,2,3,1,55,6,1,3,4,0,7.8
17,order_total_diff-max,6,4,4,1,51,3,1,4,8,5,8.7
18,order_total_diff-min,3,2,4,1,50,4,2,7,4,1,7.8
19,order_total_diff-sum,4,0,1,0,38,4,3,6,7,3,6.6
20,order_total_diff-count,0,0,0,0,0,0,0,0,0,0,0.0
21,order_total_diff-std,5,2,7,0,44,12,3,5,10,0,8.8
22,order_total_diff-skew,10,5,5,0,82,8,3,8,15,2,13.8
23,order_ts-first,15,9,18,4,110,20,11,22,28,8,24.5
24,order_ts-last,17,15,25,1,85,14,7,27,22,5,21.8
25,order_ts_diff-mean,1,0,3,0,18,2,0,3,3,0,3.0
26,order_ts_diff-max,1,0,4,0,24,4,0,2,4,0,3.9
27,order_ts_diff-min,0,0,0,0,0,0,0,0,0,0,0.0
28,order_ts_diff-sum,0,0,0,0,9,0,0,2,2,0,1.3
29,order_ts_diff-count,1,1,2,3,16,1,1,2,5,0,3.2
30,order_ts_diff-std,1,1,1,0,20,1,1,3,2,0,3.0
31,order_ts_diff-skew,0,1,1,0,7,1,0,3,2,0,1.5
32,quantity_diff-mean,4,2,5,0,77,6,3,10,11,0,11.8
33,quantity_diff-max,4,2,4,0,59,7,5,7,4,0,9.2
34,quantity_diff-min,1,1,5,0,42,4,2,4,1,0,6.0
35,quantity_diff-sum,0,0,1,0,28,0,0,0,2,0,3.1
36,quantity_diff-count,0,0,0,0,1,0,0,0,0,0,0.1
37,quantity_diff-std,3,2,2,1,71,6,3,9,8,0,10.5
38,quantity_diff-skew,10,9,11,4,95,11,6,17,16,1,18.0
39,price_diff-mean,2,5,1,0,78,8,3,7,8,3,11.5
40,price_diff-max,3,3,4,0,51,9,2,6,5,0,8.3
41,price_diff-min,1,4,8,2,65,5,4,7,11,0,10.7
42,price_diff-sum,5,5,12,0,78,12,5,18,19,1,15.5
43,price_diff-count,0,0,0,0,0,0,0,0,0,0,0.0
44,price_diff-std,7,1,6,0,68,4,6,6,17,3,11.8
45,price_diff-skew,9,10,7,1,124,10,2,12,23,0,19.8
46,total_diff-mean,7,1,2,0,58,7,4,7,12,2,10.0
47,total_diff-max,4,2,2,1,75,10,4,7,12,1,11.8
48,total_diff-min,1,3,7,1,93,6,2,5,8,1,12.7
49,total_diff-sum,5,2,7,2,68,8,3,6,10,1,11.2
50,total_diff-count,0,0,0,0,0,0,0,0,0,0,0.0
51,total_diff-std,4,1,6,0,68,7,5,6,7,1,10.5
52,total_diff-skew,3,4,8,1,121,7,3,16,17,2,18.2
53,order_id-nunique,7,7,8,3,23,7,6,9,11,4,8.5
54,product_id-nunique,2,0,1,0,35,2,3,5,5,1,5.4
55,cumsum_total_by_cust_id-mean,5,1,2,1,33,7,0,10,6,1,6.6
56,cumsum_total_by_cust_id-max,3,1,2,3,22,4,0,5,5,0,4.5
57,cumsum_total_by_cust_id-min,5,3,5,4,78,8,4,14,10,1,13.2
58,cumsum_total_by_cust_id-sum,2,0,2,3,33,3,1,7,8,2,6.1
59,cumsum_total_by_cust_id-count,0,0,0,0,0,0,0,0,0,0,0.0
60,cumsum_total_by_cust_id-std,6,2,11,2,34,12,3,4,10,2,8.6
61,cumsum_total_by_cust_id-skew,8,4,11,3,103,15,8,16,15,4,18.7
62,cumsum_quantity_by_cust_id-mean,7,1,5,0,24,3,4,5,8,1,5.8
63,cumsum_quantity_by_cust_id-max,1,1,1,1,25,3,2,4,5,0,4.3
64,cumsum_quantity_by_cust_id-min,8,6,4,3,47,4,6,9,8,0,9.5
65,cumsum_quantity_by_cust_id-sum,4,2,8,0,37,6,3,7,5,3,7.5
66,cumsum_quantity_by_cust_id-count,0,0,0,0,0,0,0,0,0,0,0.0
67,cumsum_quantity_by_cust_id-std,1,2,2,2,35,4,3,3,3,3,5.8
68,cumsum_quantity_by_cust_id-skew,1,0,13,3,99,10,5,10,15,1,15.7
69,cumsum_price_by_cust_id-mean,2,0,4,0,25,2,1,5,4,1,4.4
70,cumsum_price_by_cust_id-max,0,1,3,1,17,6,2,3,4,0,3.7
71,cumsum_price_by_cust_id-min,4,3,5,0,55,4,1,6,8,1,8.7
72,cumsum_price_by_cust_id-sum,1,1,2,1,27,6,2,5,4,0,4.9
73,cumsum_price_by_cust_id-count,0,0,0,0,0,0,0,0,0,0,0.0
74,cumsum_price_by_cust_id-std,3,0,6,1,29,3,0,5,5,1,5.3
75,cumsum_price_by_cust_id-skew,4,4,10,1,126,12,3,11,14,1,18.6
76,cumsum_total_by_prod_id-mean,4,2,13,2,46,5,6,8,11,2,9.9
77,cumsum_total_by_prod_id-max,10,10,11,4,71,13,13,14,15,4,16.5
78,cumsum_total_by_prod_id-min,1,1,9,3,75,3,1,6,4,0,10.3
79,cumsum_total_by_prod_id-sum,15,9,8,4,62,18,18,18,21,9,18.2
80,cumsum_total_by_prod_id-count,0,0,0,0,0,0,0,0,0,0,0.0
81,cumsum_total_by_prod_id-std,7,5,6,3,64,9,5,7,13,2,12.1
82,cumsum_total_by_prod_id-skew,5,5,7,5,45,8,6,6,12,1,10.0
83,cumsum_quantity_by_prod_id-mean,2,2,5,0,49,9,2,5,5,1,8.0
84,cumsum_quantity_by_prod_id-max,3,1,8,2,32,1,2,2,8,2,6.1
85,cumsum_quantity_by_prod_id-min,4,0,14,0,112,7,6,10,11,0,16.4
86,cumsum_quantity_by_prod_id-sum,6,7,14,4,38,11,9,9,15,4,11.7
87,cumsum_quantity_by_prod_id-count,0,0,0,0,0,0,0,0,0,0,0.0
88,cumsum_quantity_by_prod_id-std,10,5,9,2,81,13,10,8,16,1,15.5
89,cumsum_quantity_by_prod_id-skew,11,7,7,2,81,10,4,21,7,5,15.5
90,cumsum_price_by_prod_id-mean,1,6,7,1,42,8,7,6,10,4,9.2
91,cumsum_price_by_prod_id-max,1,1,2,1,17,1,1,1,6,0,3.1
92,cumsum_price_by_prod_id-min,7,6,4,0,76,4,3,11,10,3,12.4
93,cumsum_price_by_prod_id-sum,8,11,19,8,35,12,10,14,11,3,13.1
94,cumsum_price_by_prod_id-count,0,0,0,0,0,0,0,0,0,0,0.0
95,cumsum_price_by_prod_id-std,3,5,5,2,47,9,7,12,12,2,10.4
96,cumsum_price_by_prod_id-skew,8,4,5,2,49,7,3,14,7,2,10.1
97,cumsum_total_by_order_id-mean,11,3,3,2,63,7,3,8,12,3,11.5
98,cumsum_total_by_order_id-max,5,5,4,0,48,8,2,11,10,1,9.4
99,cumsum_total_by_order_id-min,6,3,9,0,73,7,4,13,11,1,12.7
100,cumsum_total_by_order_id-sum,3,1,5,0,36,6,5,11,7,0,7.4
101,cumsum_total_by_order_id-count,0,0,0,0,0,0,0,0,0,0,0.0
102,cumsum_total_by_order_id-std,6,3,8,1,63,10,6,14,11,2,12.4
103,cumsum_total_by_order_id-skew,4,4,7,0,91,5,3,8,17,0,13.9
104,cumsum_quantity_by_order_id-mean,8,0,3,1,51,3,2,9,4,1,8.2
105,cumsum_quantity_by_order_id-max,3,1,5,3,48,6,3,7,10,4,9.0
106,cumsum_quantity_by_order_id-min,1,3,7,0,48,8,7,6,6,1,8.7
107,cumsum_quantity_by_order_id-sum,2,1,1,0,41,4,2,3,3,0,5.7
108,cumsum_quantity_by_order_id-count,0,0,0,0,0,0,0,0,0,0,0.0
109,cumsum_quantity_by_order_id-std,6,1,9,1,64,7,3,5,6,4,10.6
110,cumsum_quantity_by_order_id-skew,9,4,9,0,97,7,4,9,21,3,16.3
111,cumsum_price_by_order_id-mean,4,4,6,2,70,6,3,12,14,4,12.5
112,cumsum_price_by_order_id-max,3,3,6,0,30,3,1,3,2,0,5.1
113,cumsum_price_by_order_id-min,3,1,6,0,46,6,1,4,8,1,7.6
114,cumsum_price_by_order_id-sum,3,0,7,3,35,4,4,5,4,1,6.6
115,cumsum_price_by_order_id-count,0,0,0,0,0,0,0,0,0,0,0.0
116,cumsum_price_by_order_id-std,5,2,2,1,42,3,2,8,6,0,7.1
117,cumsum_price_by_order_id-skew,13,6,5,1,97,14,7,20,20,3,18.6
118,quantity-mean,2,3,3,3,59,8,3,4,11,2,9.8
119,quantity-max,0,1,1,0,26,2,1,2,2,1,3.6
120,quantity-min,0,2,0,0,18,4,0,1,2,1,2.8
121,quantity-sum,3,3,4,3,21,1,0,6,3,1,4.5
122,quantity-count,0,0,0,0,0,0,0,0,0,0,0.0
123,quantity-std,3,0,7,1,65,2,4,7,7,0,9.6
124,quantity-skew,5,2,5,1,95,7,1,12,13,2,14.3
125,price-mean,2,1,3,0,95,3,1,9,10,0,12.4
126,price-max,2,0,3,0,17,5,3,3,2,1,3.6
127,price-min,2,1,2,0,24,2,1,4,5,1,4.2
128,price-sum,0,1,1,0,6,0,1,0,3,0,1.2
129,price-count,0,0,0,0,0,0,0,0,0,0,0.0
130,price-std,5,2,3,0,60,6,4,11,11,0,10.2
131,price-skew,9,3,5,1,96,14,5,15,13,2,16.3
132,total-mean,5,3,6,1,71,9,3,7,12,2,11.9
133,total-max,0,3,2,0,47,4,2,2,3,1,6.4
134,total-min,4,3,8,0,64,11,4,5,16,1,11.6
135,total-sum,7,0,8,2,32,11,8,8,22,4,10.2
136,total-count,0,0,0,0,0,0,0,0,0,0,0.0
137,total-std,2,2,6,2,45,7,1,12,4,2,8.3
138,total-skew,5,3,5,1,90,2,2,11,12,0,13.1
