,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,importance
0,month-mode,2.2704852157938085,1.9952817103506613,0.858013806239872,1.9896636013665687,1.2410368816653325,3.3385374313285836,0.9179487555320733,2.2536747513070163,1.171044751640834,2.6529904063364884,1.868867731156124
1,year_month-mode,1.1890448248565424,1.590027422082717,2.1354485871608175,1.7974477245670077,2.326931148735097,2.761374522423082,5.208773448085256,1.3343956554383158,2.2483441196548655,3.0740178024582683,2.366580525546197
2,order_ts-first,2.540558150004077,1.1821440863674302,0.12017267643535204,3.5765348883800603,1.0784400451030869,1.8851113133680244,1.844536940185209,1.8172972603153494,2.3296569645642045,0.9494439502225703,1.7323896274945363
3,order_ts-last,2.124787704202264,2.459298498387519,5.783416915373654,1.6582272971212044,3.4314035059528507,1.193438368128966,1.9062361443045344,2.213739405920949,2.587854957991154,2.80522609651087,2.616362889389397
4,order_ts_diff-mean,0.8973257659084394,0.24346097489316534,0.1603140280910668,0.3822116909107544,0.9140192816886943,0.3406732898528094,0.41960476825296283,1.1640006611327711,0.5636576353914208,0.20396580901420328,0.5289233905136287
5,order_ts_diff-max,2.8254181345824727,2.47719680979482,0.6819322376248221,1.7002206179302546,3.719917926644702,2.692319236948131,2.1640519459866554,0.9492532395123869,1.75777304975115,2.001717849189963,2.0969801047965357
6,order_ts_diff-sum,0.8503043399339525,0.7313981666596652,2.1772957823583354,0.5618549878326909,1.0921736727266593,0.5408914068325303,0.9622317637791689,0.8242169059872846,1.102774029920171,0.9548063151590893,0.9797947371189549
7,order_ts_diff-count,1.191674400718376,0.5459150288404203,1.6103306763106005,0.38538843495126174,1.1267834874343647,1.133832888368003,0.572426030028448,0.8783186803887091,0.6371302883840303,0.18728389266619822,0.826908380809041
8,order_ts_diff-std,1.4021561795937214,1.6399067770907974,5.342659036576948,2.5597241786380653,2.4169819963582975,2.1303761644662678,2.358175368279929,1.1812604699199785,2.025312348506017,1.8510643452263222,2.2907616864656344
9,order_ts_diff-skew,1.2339034580400172,0.5409242901577056,0.9896037794727477,1.2717990691572052,1.4278839829469523,1.8594041918872948,0.858199227183836,0.8485224701060148,1.2817650079531968,2.0582354927568396,1.2370240969661812
10,quantity_diff-mean,0.9762594829157626,1.469585225281118,0.6075322634918927,1.0029559190604254,1.3188862224527929,0.9657232519328797,1.2357315942845515,1.4504689029269262,1.786522055757002,0.8801078561178532,1.1693772774221203
11,quantity_diff-max,0.46019906603041605,0.3004030844634354,0.8447290328212457,0.29325968970291866,0.5415120004153327,0.22596291839281854,0.4338412801421385,0.8230723633865464,0.7007213065299568,0.15480508289263128,0.47785058247774403
12,quantity_diff-min,0.5307168679138616,0.7610737874390123,0.2513395153084992,0.6448273062980697,0.42179770592604277,0.29918083997637407,0.21402625428939434,0.4929722057486281,0.97878768186243,0.0002879935706714232,0.45950101583329833
13,quantity_diff-sum,1.2121178834906705,0.5089541784983074,0.24148894417808084,0.8386946945456393,0.05494471186839776,0.23462391783796085,0.48502444626200036,0.5688207156900353,0.6200415183747721,0.06124001862491292,0.4825951029370777
14,quantity_diff-std,0.6732069099149837,0.6758775652382533,0.0,0.5792680729987433,0.31578700483223715,0.29905576146236656,0.0,0.9400536988601231,1.3656251707429352,0.12848833718179928,0.49773625212314404
15,quantity_diff-skew,1.6064882612989286,1.2079214744892455,1.6636166856363035,1.3786762644159638,1.371966677867853,0.21892371775459613,0.0,1.3082758449462222,1.627674058159003,0.15619863146135526,1.0539741616029472
16,price_diff-mean,0.9306151181837872,0.17193512329416893,0.6509472252304709,1.1016570966525034,0.6848764199838685,1.4218881061670396,0.6794181209139752,0.9683378852028948,1.2081956006785528,0.0,0.7817870696307262
17,price_diff-max,0.33807083755289274,0.8415945067870846,0.8236814250005249,0.4314807494736913,0.1724559156927383,0.7390174930123663,0.461811621499442,0.6561427842453164,0.9375943597290091,0.2440651353358413,0.5645914828328907
18,price_diff-min,0.26322053591864886,0.83457436434973,0.7053035052732466,0.8442075341863474,0.8508823274895589,0.792345795236927,0.4760890986145195,0.38384966578616925,0.9414768472695804,0.7564887914290002,0.6848438465553729
19,price_diff-sum,0.27132195475069776,0.5269647507255392,0.3195844065986286,0.7151142215270894,0.2968326698533369,0.15792951161850977,0.0,0.44680036630084885,0.9971868748258681,0.0,0.3731734756200519
20,price_diff-std,0.6965023643555566,0.4066900631736262,0.0,0.7286525866343031,0.9114405230404001,0.666605528479269,0.32275373481958647,0.36214903159827194,0.8359992166955162,0.0,0.4930793048796529
21,price_diff-skew,1.0409987499817608,0.5574780628576493,0.6711032768971399,1.3653638471878502,1.0951094845081824,1.2058074212161736,0.2252112982761454,1.2047616914740122,1.4585722436047115,0.6872554455619991,0.9511661521565624
22,total_diff-mean,0.5367971036036914,0.11533881834930987,0.6224082090755216,0.6072562550857914,0.5653076598945547,0.5335166458767784,0.5925515060606557,0.5978845031638703,0.9450998212353031,0.710820456812497,0.5826980979157973
23,total_diff-max,0.19411406254632232,0.6356519252287373,0.700265621531838,0.2814382732645999,0.5707007125586483,1.1054185037061555,0.16446437462181207,1.112979087272963,0.5087102777464431,0.28897830591362994,0.556272114439115
24,total_diff-min,0.5527472084462146,0.20306439585162867,0.1376735948259021,1.168644014542585,0.5511053586144682,0.8712664961444364,0.927498322819757,0.5685060505859142,0.8630488927338663,0.6637678659686301,0.6507322200533403
25,total_diff-sum,0.367233211780362,0.42268983275509714,0.08648507057976534,0.5546215147546731,0.5434581252036975,1.581812043098077,0.0,0.3523029722698456,0.42353612083358505,0.12548768212453834,0.4457626573399642
26,total_diff-std,0.7528960012145307,0.48533801650335495,0.5067348535382983,0.4222046357432336,0.6000416585764282,0.397402108223948,0.2737149425732875,0.7796297490187708,0.7223113986983951,0.0,0.49402733640902474
27,total_diff-skew,0.6500207320385206,0.10918522341660039,0.0,0.303370395404239,0.16832773457270053,0.8103812049453266,0.0,0.16234589991202691,0.6286967991866822,0.0,0.28323279894760967
28,order_id-nunique,1.1660465643961087,1.583578167294909,2.9676378416672953,1.4001521749819725,1.175162048905915,2.0457907984194543,3.2040189079244135,2.2321900467827294,1.1782609926355172,3.0348687340812686,1.9987706277089583
29,product_id-nunique,0.7306788961938617,0.39253440990769234,0.31374707268828134,0.8889315035580979,0.18395351220809752,1.3864781929148133,0.6158038951791688,0.9204631620069407,0.715256120672266,0.7934062535093624,0.6941253018838582
30,cumsum_total_by_cust_id-mean,2.2429542401040217,1.929969586598526,0.26052414033966337,0.9522123718985874,0.48443017743335476,1.3308498753014129,1.1009237626488282,0.500352609897445,0.3161787518681707,0.5153802357314599,0.963377575182147
31,cumsum_total_by_cust_id-max,0.6426652964889534,0.5009767963612769,2.001533272033237,1.1394454897256001,0.6109549328304432,0.9386264698615033,2.0770044903261304,0.5444934158298447,1.217139038468481,2.737802240423739,1.241064144234921
32,cumsum_total_by_cust_id-min,0.8203243202707715,0.832652358741038,0.11817677049666894,0.7823798901637353,0.5028399356337631,1.1359300839767863,0.23608059291307631,1.09953290306157,1.771925474775797,0.427185718323865,0.7727028048357071
33,cumsum_total_by_cust_id-sum,1.3572633163492882,1.344809989278808,1.8333783329887068,0.6693927884836244,0.9042445775600751,0.48734418255746187,0.43184484741576323,0.33930078703847877,0.5613734933705227,0.0,0.792895231504273
34,cumsum_total_by_cust_id-std,0.9201456833364562,0.6046776637930755,0.449327936462309,0.9336856355653992,1.1830366977366942,0.6300316275689036,0.060396407409233764,0.7645585764891508,0.5233493382429476,0.7785834723869298,0.68477930389911
35,cumsum_total_by_cust_id-skew,0.9961224472307902,1.285772257108936,0.27231330727459413,0.8248456270120816,1.3804448223905503,1.370307341197907,0.9895004267581374,1.370511022612891,1.375639543535808,0.0,0.9865456795121696
36,cumsum_quantity_by_cust_id-mean,0.5803875406539384,0.5197272124664818,0.5615342715018987,0.527186734409821,1.0918516518374308,0.8980606583827314,0.6403605729683152,0.5105915791089425,1.0407101048676506,1.7043607476948064,0.8074771073892016
37,cumsum_quantity_by_cust_id-max,0.9675027392564253,1.22248840952543,0.9517049482158539,0.4334579032962833,0.23571064978719383,0.9462023021310267,0.3678704986566952,0.04216529826566495,0.829340607398074,0.0,0.5996443356532647
38,cumsum_quantity_by_cust_id-min,1.1912778859369495,0.5375209928479369,0.0,0.9261305314697258,0.42678905339157935,0.3488821443926942,0.6480764952522672,0.372074324852848,0.28705643775913425,0.0,0.47378078659031353
39,cumsum_quantity_by_cust_id-sum,0.7587897872334004,0.8198843965800181,1.9037261668756367,1.1015392273701607,1.5967509842728633,1.8492613883769793,1.5692709767993407,0.6255885168195052,1.0227745492930995,1.523045054695412,1.2770631048316416
40,cumsum_quantity_by_cust_id-std,0.78625054044493,2.037195889984853,0.6024354533966729,0.4363837915086454,0.45302942717363154,0.3524777598997862,0.22906912989058048,0.2236519460321783,0.6152485711207137,1.3431169107228498,0.7078859420174842
41,cumsum_quantity_by_cust_id-skew,1.2103885690603127,0.007996025168961814,0.6638188768101272,0.24688198611689796,0.5478015412907586,0.755131877641395,0.6412582706921861,1.3310411924889898,0.759430455278963,0.0,0.6163748794548592
42,cumsum_price_by_cust_id-mean,0.7121145822264522,0.29630596291777267,0.34757110429509464,0.28561796275611095,0.44590981138881436,0.034545215885897804,0.9210924954835796,0.5912412006913194,0.28449433461976964,0.9859023616821921,0.49047950319470035
43,cumsum_price_by_cust_id-max,0.24314327811878636,0.4359881406439797,0.08470214544500347,0.45435163549273605,0.6029447782943609,0.3762817384332119,0.6337254037390705,0.5010596304210049,0.821503145148469,0.523539809104666,0.46772397048412884
44,cumsum_price_by_cust_id-min,0.6127454339814341,0.46872694544527793,0.7769808697093543,0.8460124392018155,0.4979376459336648,0.5045919354014665,1.0391296936239587,0.48606891430914295,0.5554344769361274,0.36530633763347126,0.6152934692175712
45,cumsum_price_by_cust_id-sum,0.9434045263506352,0.30705074153395706,0.6726120504096023,0.600309896641218,0.9128943018418735,0.7331213513340396,1.3831007436816993,1.174988639711972,1.4086252881778836,0.8166990333367858,0.8952806573019666
46,cumsum_price_by_cust_id-std,0.7126844255190817,0.6251474690213433,0.12733269867585448,0.6246169640833555,0.9727809568132654,0.17885470941743686,0.1832900659234423,0.6112342919242039,0.825006713468103,0.27388887688401486,0.51348371717301
47,cumsum_price_by_cust_id-skew,0.6862608714994156,1.1303970164517065,1.1470860300700785,0.4433066372904871,0.9250068214537233,0.0,1.1018847802536464,0.8042994528624661,1.0820444218798293,1.696858277198196,0.9017144308959549
48,cumsum_total_by_prod_id-mean,1.3664613235985377,0.8262279079904898,1.9631518249813842,2.6261533487860245,2.989588043590704,0.6962287610645237,2.2686621730349836,2.106459908438168,1.7207077706670757,3.8309758030859102,2.0394616865237802
