,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,importance
0,month-mode,43,12,25,17,35,20,7,35,35,20,24.9
1,year_month-mode,43,23,29,22,57,15,19,54,35,18,31.5
2,order_ts-first,52,30,34,37,66,20,7,64,44,19,37.3
3,order_ts-last,50,25,51,31,44,23,14,72,37,22,36.9
4,order_ts_diff-mean,16,4,6,5,13,1,0,24,7,2,7.8
5,order_ts_diff-max,67,49,53,53,74,46,27,78,64,51,56.2
6,order_ts_diff-sum,19,4,10,6,32,6,6,25,24,9,14.1
7,order_ts_diff-count,12,4,11,3,22,9,1,27,9,8,10.6
8,order_ts_diff-std,22,22,33,24,37,15,16,32,30,13,24.4
9,order_ts_diff-skew,22,9,13,9,40,4,3,28,16,8,15.2
10,quantity_diff-mean,30,25,23,24,37,7,9,46,26,26,25.3
11,quantity_diff-max,7,4,2,6,19,3,0,15,5,1,6.2
12,quantity_diff-min,14,9,7,4,33,5,0,36,23,5,13.6
13,quantity_diff-sum,12,6,15,6,28,5,6,36,17,10,14.1
14,quantity_diff-std,15,3,9,1,26,4,2,31,15,2,10.8
15,quantity_diff-skew,16,15,15,22,36,4,2,61,20,8,19.9
16,price_diff-mean,19,7,14,16,52,7,0,57,17,2,19.1
17,price_diff-max,9,4,17,2,21,0,1,32,6,3,9.5
18,price_diff-min,8,6,8,7,26,1,1,23,10,3,9.3
19,price_diff-sum,11,9,3,3,32,4,2,39,15,3,12.1
20,price_diff-std,17,16,8,8,51,10,3,47,30,6,19.6
21,price_diff-skew,44,11,11,24,67,5,3,67,36,8,27.6
22,total_diff-mean,10,11,11,8,38,2,2,41,19,6,14.8
23,total_diff-max,15,8,15,6,22,3,2,40,13,2,12.6
24,total_diff-min,30,4,16,6,44,2,1,30,14,3,15.0
25,total_diff-sum,9,2,6,4,26,6,0,35,15,3,10.6
26,total_diff-std,20,3,19,20,32,6,0,27,26,5,15.8
27,total_diff-skew,20,7,13,7,47,1,3,38,11,5,15.2
28,order_id-nunique,40,39,28,39,48,26,40,69,49,34,41.2
29,product_id-nunique,4,2,3,3,17,2,6,17,7,4,6.5
30,cumsum_total_by_cust_id-mean,26,7,6,11,31,11,2,31,21,16,16.2
31,cumsum_total_by_cust_id-max,17,6,6,11,12,3,5,17,13,5,9.5
32,cumsum_total_by_cust_id-min,29,20,16,15,39,10,0,52,35,11,22.7
33,cumsum_total_by_cust_id-sum,7,3,5,5,14,12,2,20,6,5,7.9
34,cumsum_total_by_cust_id-std,16,9,15,13,26,9,8,28,8,15,14.7
35,cumsum_total_by_cust_id-skew,16,8,14,9,51,7,6,25,24,10,17.0
36,cumsum_quantity_by_cust_id-mean,10,10,18,11,28,7,6,15,15,3,12.3
37,cumsum_quantity_by_cust_id-max,6,12,14,8,12,5,4,8,12,8,8.9
38,cumsum_quantity_by_cust_id-min,14,10,11,8,23,2,2,27,16,5,11.8
39,cumsum_quantity_by_cust_id-sum,14,11,13,8,10,8,3,13,17,8,10.5
40,cumsum_quantity_by_cust_id-std,11,2,4,18,28,4,4,12,12,7,10.2
41,cumsum_quantity_by_cust_id-skew,16,10,5,6,35,1,0,29,13,4,11.9
42,cumsum_price_by_cust_id-mean,4,7,3,9,7,2,1,20,5,4,6.2
43,cumsum_price_by_cust_id-max,8,2,3,3,35,1,0,19,8,3,8.2
44,cumsum_price_by_cust_id-min,11,3,8,2,18,3,1,21,14,0,8.1
45,cumsum_price_by_cust_id-sum,10,6,0,3,20,2,1,18,12,0,7.2
46,cumsum_price_by_cust_id-std,5,4,3,4,15,0,3,12,8,5,5.9
47,cumsum_price_by_cust_id-skew,28,10,13,5,45,2,1,50,25,9,18.8
48,cumsum_total_by_prod_id-mean,24,26,17,16,41,10,6,35,16,16,20.7
49,cumsum_total_by_prod_id-max,48,40,38,44,80,34,23,68,58,33,46.6
50,cumsum_total_by_prod_id-min,11,4,3,9,26,3,0,21,9,3,8.9
51,cumsum_total_by_prod_id-sum,34,42,40,43,50,39,28,46,42,29,39.3
52,cumsum_total_by_prod_id-std,14,23,18,17,35,10,5,31,29,8,19.0
53,cumsum_total_by_prod_id-skew,19,8,14,11,26,9,3,32,17,6,14.5
54,cumsum_quantity_by_prod_id-mean,15,12,10,10,26,9,4,34,21,12,15.3
55,cumsum_quantity_by_prod_id-max,11,24,15,17,36,12,13,32,12,21,19.3
56,cumsum_quantity_by_prod_id-min,18,16,18,18,49,1,1,29,36,6,19.2
57,cumsum_quantity_by_prod_id-sum,38,24,28,39,27,33,22,39,27,35,31.2
58,cumsum_quantity_by_prod_id-std,34,12,24,12,42,8,6,33,26,13,21.0
59,cumsum_quantity_by_prod_id-skew,28,24,26,25,46,12,12,65,33,9,28.0
60,cumsum_price_by_prod_id-mean,18,11,15,11,23,7,6,26,22,6,14.5
61,cumsum_price_by_prod_id-max,15,11,14,13,18,12,8,12,13,10,12.6
62,cumsum_price_by_prod_id-min,17,11,13,1,43,0,2,32,32,4,15.5
63,cumsum_price_by_prod_id-sum,23,30,31,32,49,31,24,44,46,26,33.6
64,cumsum_price_by_prod_id-std,26,20,11,13,28,10,7,33,31,17,19.6
65,cumsum_price_by_prod_id-skew,14,10,9,6,21,3,5,24,14,9,11.5
66,cumsum_total_by_order_id-mean,23,22,14,21,44,14,9,48,28,18,24.1
67,cumsum_total_by_order_id-max,31,20,23,20,21,25,10,53,25,18,24.6
68,cumsum_total_by_order_id-min,11,10,8,2,28,1,3,19,13,5,10.0
69,cumsum_total_by_order_id-sum,10,5,11,4,22,3,3,30,11,4,10.3
70,cumsum_total_by_order_id-std,14,15,21,16,42,10,4,29,12,17,18.0
71,cumsum_total_by_order_id-skew,30,13,14,7,29,1,0,31,10,3,13.8
72,cumsum_quantity_by_order_id-mean,13,3,7,8,34,3,4,18,8,8,10.6
73,cumsum_quantity_by_order_id-max,18,5,15,4,38,8,4,34,11,6,14.3
74,cumsum_quantity_by_order_id-min,8,8,5,2,22,1,1,18,14,9,8.8
75,cumsum_quantity_by_order_id-sum,12,9,5,1,42,0,2,25,17,1,11.4
76,cumsum_quantity_by_order_id-std,29,15,26,16,39,9,8,49,37,12,24.0
77,cumsum_quantity_by_order_id-skew,29,12,8,12,57,3,0,65,28,13,22.7
78,cumsum_price_by_order_id-mean,21,13,21,15,36,13,7,52,39,15,23.2
79,cumsum_price_by_order_id-max,13,2,6,6,24,1,0,16,15,5,8.8
80,cumsum_price_by_order_id-min,15,7,6,8,28,3,5,20,14,1,10.7
81,cumsum_price_by_order_id-sum,12,8,4,9,20,3,1,28,11,4,10.0
82,cumsum_price_by_order_id-std,11,8,9,8,24,2,3,18,10,4,9.7
83,cumsum_price_by_order_id-skew,47,17,20,25,50,11,6,74,48,8,30.6
84,quantity-mean,10,5,13,10,20,5,1,16,14,4,9.8
85,quantity-max,5,1,3,2,11,0,1,8,5,1,3.7
86,quantity-min,3,2,3,3,14,1,2,15,5,0,4.8
87,quantity-sum,4,10,5,9,14,3,2,20,12,8,8.7
88,quantity-std,15,5,15,4,37,4,1,34,13,2,13.0
89,quantity-skew,12,10,12,9,50,5,2,49,17,3,16.9
90,price-mean,15,12,7,0,34,2,4,41,15,6,13.6
91,price-max,8,2,6,6,13,2,3,10,2,6,5.8
92,price-min,6,4,3,3,14,3,2,15,6,3,5.9
93,price-sum,1,1,1,2,9,0,0,7,3,2,2.6
94,price-std,18,7,29,13,49,7,7,49,29,10,21.8
95,price-skew,25,10,20,8,63,3,2,50,15,1,19.7
96,total-mean,15,14,19,14,45,9,1,39,30,4,19.0
97,total-max,8,5,7,5,10,3,2,11,16,4,7.1
98,total-min,21,9,8,7,34,4,1,40,20,5,14.9
99,total-sum,34,12,16,28,35,7,15,31,35,16,22.9
100,total-std,12,15,6,6,23,6,2,24,8,4,10.6
101,total-skew,22,6,2,10,20,1,0,37,25,4,12.7
