,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,importance
0,month-mode,170,76,116,97,147,147,63,133,148,98,119.5
1,year_month-mode,162,111,163,142,218,191,127,183,182,127,160.6
2,order_ts-first,332,143,212,234,260,291,148,260,311,244,243.5
3,order_ts-last,318,202,251,235,275,298,190,312,322,227,263.0
4,order_ts_diff-mean,110,55,70,64,110,136,39,114,124,70,89.2
5,order_ts_diff-max,264,157,216,226,285,313,165,263,292,227,240.8
6,order_ts_diff-sum,143,82,102,104,139,147,86,131,165,118,121.7
7,order_ts_diff-count,89,51,51,64,81,73,42,86,88,52,67.7
8,order_ts_diff-std,169,79,135,101,157,173,92,155,170,103,133.4
9,order_ts_diff-skew,205,76,93,101,180,150,69,162,190,107,133.3
10,quantity_diff-mean,208,134,117,175,188,231,135,221,235,166,181.0
11,quantity_diff-max,101,54,66,53,100,99,72,121,117,87,87.0
12,quantity_diff-min,103,39,76,66,111,115,48,87,82,69,79.6
13,quantity_diff-sum,121,76,110,88,121,115,53,121,122,123,105.0
14,quantity_diff-std,187,71,113,82,167,155,83,168,142,121,128.9
15,quantity_diff-skew,345,183,230,236,321,367,160,326,357,235,276.0
16,price_diff-mean,197,108,142,168,213,240,98,258,215,131,177.0
17,price_diff-max,121,62,94,101,146,163,60,111,153,102,111.3
18,price_diff-min,172,68,102,109,136,161,68,147,174,71,120.8
19,price_diff-sum,215,83,112,108,170,176,79,173,167,139,142.2
20,price_diff-std,215,84,131,119,180,204,97,173,222,120,154.5
21,price_diff-skew,295,105,152,206,281,289,112,304,298,167,220.9
22,total_diff-mean,198,113,105,119,179,157,82,154,171,113,139.1
23,total_diff-max,161,65,129,111,202,183,85,175,154,107,137.2
24,total_diff-min,178,62,108,82,233,179,79,163,164,96,134.4
25,total_diff-sum,145,87,114,118,166,210,105,178,187,147,145.7
26,total_diff-std,141,47,97,105,164,202,70,173,136,93,122.8
27,total_diff-skew,236,114,161,149,267,279,107,242,268,183,200.6
28,order_id-nunique,119,89,79,104,111,115,107,152,120,98,109.4
29,product_id-nunique,86,36,41,43,71,100,47,68,82,60,63.4
30,cumsum_total_by_cust_id-mean,126,46,88,56,101,105,43,135,117,85,90.2
31,cumsum_total_by_cust_id-max,91,41,51,65,96,68,39,88,94,75,70.8
32,cumsum_total_by_cust_id-min,253,125,151,149,216,228,92,224,213,148,179.9
33,cumsum_total_by_cust_id-sum,100,29,73,55,82,92,57,74,92,69,72.3
34,cumsum_total_by_cust_id-std,115,75,67,94,97,122,66,114,102,68,92.0
35,cumsum_total_by_cust_id-skew,270,127,190,180,305,351,155,283,274,221,235.6
