,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,importance
0,month-mode,1.747910644665786,1.683626174857486,1.5475496228876426,2.1466433022403066,1.5615392429755977,2.1917393105880874,0.0,1.6834266181563509,1.8384386209904005,1.9378671584483105,1.6338740695809968
1,year_month-mode,1.3289156192426181,2.3963946110215284,2.467972580877202,2.5381529801941833,3.4628192468048886,1.3011804543612913,1.5519774094083167,1.064056519680263,1.8919992182885628,2.7088282716224805,2.071229691150134
2,order_ts-first,2.618881507974593,2.4329649125218626,2.5781538031921296,2.4823206948078083,1.120101660745123,3.230614086120809,2.9104169451496698,2.5602852966567937,2.0046649305553284,2.539948875200145,2.4478352712924263
3,order_ts-last,1.5486091339006602,1.0496914104801003,1.507307267621016,2.5253059056966,1.1229927166574383,1.3099834379272561,4.1874981570956145,0.5374141580457162,1.2474760038287425,1.9207009920544686,1.6956979183307612
4,order_ts_diff-mean,0.46584837980574273,0.0669880419944136,0.48883973372045003,0.6766485963330331,0.8172469953270447,0.6947097542516143,1.0512693754716667,1.0434608215404109,0.3022700695168707,1.1498355538186364,0.6757117321779883
5,order_ts_diff-max,2.159965404654914,3.412627801169739,3.12106527424504,2.207900558350228,2.767021307008192,2.8361965546870236,3.0931829154871564,3.170908424618674,2.461745918847549,3.7316613813854,2.8962275540453915
6,order_ts_diff-min,0.04381772433117322,0.0667500534389732,0.0,0.06315593514008741,0.002596781741997537,0.03034247762437686,0.0370199417992091,0.01359412734043521,0.01699568542403593,0.07280953292399328,0.03470822597642818
7,order_ts_diff-sum,2.085252621516418,0.5393724993517621,0.44501932345905026,0.25109557228177937,0.4029801145909316,0.5122971090119612,1.2560840058441631,0.7600914035804697,1.168270491782769,1.256002431928381,0.8676465573347686
8,order_ts_diff-count,0.13770279977332175,0.08233009840962686,0.33985812647856667,0.9054116253530967,0.5955800011897321,0.12329650713932575,0.8160880057712417,0.27188312695249217,0.9942085404553099,1.3343265452065953,0.560068537672931
9,order_ts_diff-std,0.9256949895242429,1.1686055818099557,1.926155148685272,0.7680355466843926,0.9540995903953922,0.9603534814890302,0.4103619671615827,0.7226583712096893,0.4889580288132006,0.9869564696336427,0.9311879175406401
10,order_ts_diff-skew,0.6633375061513715,1.085662050677775,0.0,0.8062508958863395,1.0648653925225617,0.9974364682138722,0.5745351376817494,0.7475583278162956,0.32991549361273553,0.8348522359976431,0.7104413508560343
11,quantity_diff-mean,1.428182999990184,2.032076441607537,1.30991602320105,1.4060298014345745,0.8676833119418391,1.2750805485057786,0.5952046650342266,1.8530017281468616,1.0476633807576503,1.3743773537604822,1.3189216254380185
12,quantity_diff-max,0.012935179161215485,0.44702584060191813,0.23676058786574325,0.0,0.5511384015734956,0.4768984188296793,0.0,0.22296091693282075,0.1839944763121238,0.6347058487063356,0.2766419669983332
13,quantity_diff-min,0.3621018644838588,0.31471073264250815,0.25429543112416714,0.2795413015442958,0.7397917210386137,0.5710800736561046,1.4622282162734377,0.3607290325895734,0.5917405868843326,0.2057735349663973,0.5141992495203289
14,quantity_diff-sum,0.6888013335878096,0.064213279233553,0.14150002334494657,0.5131524797223171,0.2909420548021877,0.6554254779413757,0.6279970680251129,0.6675661265911562,0.6166965807366476,0.5143789192983845,0.47806733432834914
