,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,importance
0,month-mode,41,9,17,18,24,23,7,11,30,13,19.3
1,year_month-mode,40,8,23,22,52,17,12,13,43,17,24.7
2,order_ts-first,43,15,24,25,30,18,1,16,31,16,21.9
3,order_ts-last,40,20,38,21,25,32,10,29,35,30,28.0
4,order_ts_diff-mean,13,1,4,13,7,0,1,3,5,3,5.0
5,order_ts_diff-max,70,33,36,47,69,45,21,40,46,47,45.4
6,order_ts_diff-min,0,0,0,0,0,0,0,0,0,0,0.0
7,order_ts_diff-sum,13,0,8,6,11,7,3,4,10,6,6.8
8,order_ts_diff-count,13,5,8,3,13,6,3,3,3,6,6.3
9,order_ts_diff-std,29,10,13,17,25,22,15,19,17,19,18.6
10,order_ts_diff-skew,18,0,4,3,12,8,4,1,5,8,6.3
11,quantity_diff-mean,30,9,8,18,25,13,7,16,20,14,16.0
12,quantity_diff-max,10,1,6,1,2,4,0,0,3,2,2.9
13,quantity_diff-min,12,0,6,0,10,2,0,4,7,4,4.5
14,quantity_diff-sum,9,5,5,3,13,4,2,7,3,12,6.3
15,quantity_diff-count,2,0,4,0,2,1,0,1,2,2,1.4
16,quantity_diff-std,11,0,10,0,11,2,0,0,7,4,4.5
17,quantity_diff-skew,15,5,9,8,16,4,0,0,14,6,7.7
18,price_diff-mean,25,3,10,6,12,7,3,7,8,5,8.6
19,price_diff-max,7,0,6,4,4,4,0,2,4,2,3.3
20,price_diff-min,11,3,3,1,8,3,1,0,5,4,3.9
21,price_diff-sum,4,0,1,3,15,1,0,4,10,7,4.5
22,price_diff-count,1,1,0,0,0,0,0,0,0,0,0.2
23,price_diff-std,16,1,4,7,19,7,2,2,25,4,8.7
24,price_diff-skew,36,1,10,18,28,11,0,4,25,13,14.6
25,total_diff-mean,14,3,5,8,19,5,1,3,17,7,8.2
26,total_diff-max,14,2,1,2,13,7,0,2,8,2,5.1
