,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,importance
0,month-mode,42,14,24,9,25,15,10,23,24,26,21.2
1,year_month-mode,43,19,33,17,50,17,13,34,16,23,26.5
2,order_ts-first,51,40,37,25,34,20,11,46,28,26,31.8
3,order_ts-last,56,23,50,21,27,23,15,40,26,21,30.2
4,order_ts_diff-mean,16,5,6,5,5,1,2,7,0,4,5.1
5,order_ts_diff-max,65,53,55,37,56,41,28,60,38,59,49.2
6,order_ts_diff-sum,18,6,13,5,12,6,5,9,6,5,8.5
7,order_ts_diff-count,11,8,13,1,13,5,1,4,1,12,6.9
8,order_ts_diff-std,22,17,32,14,24,14,18,23,21,12,19.7
9,order_ts_diff-skew,20,8,13,7,14,4,2,9,6,10,9.3
10,quantity_diff-mean,33,22,20,17,19,6,9,24,10,24,18.4
11,quantity_diff-max,8,2,7,2,7,2,2,1,2,0,3.3
12,quantity_diff-min,17,12,7,0,13,3,0,6,5,8,7.1
13,quantity_diff-sum,9,5,13,5,12,4,3,22,6,14,9.3
14,quantity_diff-std,13,1,8,0,11,1,1,7,3,4,4.9
15,quantity_diff-skew,20,18,15,6,15,4,2,15,3,9,10.7
16,price_diff-mean,17,7,14,9,13,2,0,21,0,6,8.9
17,price_diff-max,9,9,14,0,4,0,1,10,0,3,5.0
18,price_diff-min,13,8,10,2,8,1,1,12,1,5,6.1
19,price_diff-sum,8,10,3,1,8,3,1,10,2,7,5.3
20,price_diff-std,19,18,8,5,24,7,7,16,11,9,12.4
21,price_diff-skew,45,18,9,9,21,9,4,27,7,18,16.7
22,total_diff-mean,12,12,10,9,18,6,3,16,10,3,9.9
23,total_diff-max,15,11,12,1,12,2,1,20,1,4,7.9
24,total_diff-min,23,4,12,2,14,3,1,12,4,4,7.9
25,total_diff-sum,13,8,7,1,3,5,0,10,8,6,6.1
26,total_diff-std,22,5,22,7,14,3,1,10,7,8,9.9
27,total_diff-skew,24,12,9,3,8,3,4,8,1,4,7.6
28,order_id-nunique,41,39,30,34,32,25,43,66,31,38,37.9
29,product_id-nunique,6,5,5,2,7,2,5,2,6,1,4.1
30,cumsum_total_by_cust_id-mean,29,5,10,6,15,14,6,19,14,16,13.4
31,cumsum_total_by_cust_id-max,17,8,6,9,12,5,6,12,9,5,8.9
32,cumsum_total_by_cust_id-min,20,21,14,10,18,8,1,17,7,15,13.1
33,cumsum_total_by_cust_id-sum,7,2,7,6,7,8,2,13,5,4,6.1
34,cumsum_total_by_cust_id-std,17,9,16,10,19,9,10,16,6,12,12.4
35,cumsum_total_by_cust_id-skew,22,13,12,2,16,9,8,14,5,12,11.3
36,cumsum_quantity_by_cust_id-mean,15,11,15,6,16,11,6,5,6,5,9.6
37,cumsum_quantity_by_cust_id-max,10,10,13,3,5,5,2,11,6,8,7.3
38,cumsum_quantity_by_cust_id-min,18,13,11,4,9,3,3,10,5,6,8.2
39,cumsum_quantity_by_cust_id-sum,16,9,15,2,5,9,0,9,12,9,8.6
40,cumsum_quantity_by_cust_id-std,5,3,3,11,3,4,2,3,6,8,4.8
41,cumsum_quantity_by_cust_id-skew,15,10,3,4,11,2,2,8,2,6,6.3
42,cumsum_price_by_cust_id-mean,2,8,3,2,8,2,0,11,1,2,3.9
43,cumsum_price_by_cust_id-max,8,6,3,2,18,1,1,6,1,3,4.9
44,cumsum_price_by_cust_id-min,9,5,4,0,4,3,1,11,5,0,4.2
45,cumsum_price_by_cust_id-sum,10,4,0,1,13,3,0,2,3,0,3.6
46,cumsum_price_by_cust_id-std,9,4,0,1,5,0,2,4,1,6,3.2
47,cumsum_price_by_cust_id-skew,24,13,22,1,18,3,1,15,10,9,11.6
48,cumsum_total_by_prod_id-mean,24,30,18,10,28,9,3,17,7,24,17.0
49,cumsum_total_by_prod_id-max,45,38,36,41,45,33,23,43,34,32,37.0
50,cumsum_total_by_prod_id-min,14,6,4,3,6,3,1,8,3,6,5.4
51,cumsum_total_by_prod_id-sum,35,41,36,39,34,39,31,40,35,33,36.3
52,cumsum_total_by_prod_id-std,17,26,13,13,21,10,8,17,15,12,15.2
53,cumsum_total_by_prod_id-skew,21,9,11,1,10,5,2,12,5,9,8.5
54,cumsum_quantity_by_prod_id-mean,19,18,11,7,10,9,3,20,16,10,12.3
55,cumsum_quantity_by_prod_id-max,15,21,14,8,22,10,15,25,10,19,15.9
56,cumsum_quantity_by_prod_id-min,27,15,23,8,9,4,1,13,11,21,13.2
57,cumsum_quantity_by_prod_id-sum,31,23,33,29,20,36,25,32,19,34,28.2
58,cumsum_quantity_by_prod_id-std,31,13,21,9,18,9,7,7,9,17,14.1
59,cumsum_quantity_by_prod_id-skew,32,29,27,18,29,9,11,35,15,11,21.6
60,cumsum_price_by_prod_id-mean,23,15,16,7,12,5,5,15,8,6,11.2
61,cumsum_price_by_prod_id-max,16,12,14,11,11,10,8,9,5,11,10.7
62,cumsum_price_by_prod_id-min,21,13,14,0,11,0,3,12,8,9,9.1
63,cumsum_price_by_prod_id-sum,25,32,29,30,38,27,23,34,38,22,29.8
64,cumsum_price_by_prod_id-std,27,16,15,8,24,21,6,14,11,14,15.6
65,cumsum_price_by_prod_id-skew,14,11,5,2,10,4,3,12,6,7,7.4
66,cumsum_total_by_order_id-mean,27,15,13,14,14,18,10,26,8,21,16.6
67,cumsum_total_by_order_id-max,32,19,23,14,11,20,9,32,11,20,19.1
68,cumsum_total_by_order_id-min,15,10,15,0,11,1,4,11,2,7,7.6
69,cumsum_total_by_order_id-sum,10,6,13,2,11,3,3,20,3,4,7.5
70,cumsum_total_by_order_id-std,15,17,19,6,16,15,4,17,6,17,13.2
71,cumsum_total_by_order_id-skew,30,11,13,4,6,2,1,12,0,3,8.2
72,cumsum_quantity_by_order_id-mean,13,6,8,3,7,1,2,7,3,6,5.6
73,cumsum_quantity_by_order_id-max,19,10,14,7,17,7,3,20,5,9,11.1
74,cumsum_quantity_by_order_id-min,7,6,2,1,13,2,1,6,3,10,5.1
75,cumsum_quantity_by_order_id-sum,9,9,6,1,13,2,1,7,3,3,5.4
76,cumsum_quantity_by_order_id-std,26,16,26,8,12,9,6,24,14,15,15.6
77,cumsum_quantity_by_order_id-skew,26,11,11,7,14,2,0,20,3,10,10.4
78,cumsum_price_by_order_id-mean,18,14,22,9,26,11,8,21,16,18,16.3
79,cumsum_price_by_order_id-max,7,1,3,2,8,1,2,8,3,8,4.3
80,cumsum_price_by_order_id-min,11,7,8,3,18,4,3,7,6,2,6.9
81,cumsum_price_by_order_id-sum,11,8,6,1,11,3,1,14,3,3,6.1
82,cumsum_price_by_order_id-std,11,6,5,7,17,2,1,9,4,1,6.3
83,cumsum_price_by_order_id-skew,50,17,25,17,24,19,5,43,24,12,23.6
84,quantity-mean,8,9,10,4,7,2,0,7,2,3,5.2
85,quantity-max,5,1,2,0,3,0,0,4,1,0,1.6
86,quantity-min,7,3,3,1,6,1,1,8,1,1,3.2
87,quantity-sum,3,12,6,2,5,3,2,3,9,12,5.7
88,quantity-std,15,11,17,2,15,2,2,18,4,5,9.1
89,quantity-skew,6,18,9,2,15,5,2,13,2,2,7.4
90,price-mean,21,7,6,6,10,4,1,22,6,6,8.9
91,price-max,11,2,8,5,1,4,3,1,1,6,4.2
92,price-min,6,2,1,1,0,2,1,2,4,3,2.2
93,price-sum,5,3,0,0,7,0,0,3,2,0,2.0
94,price-std,18,10,23,1,20,12,6,31,9,12,14.2
95,price-skew,22,14,19,6,28,6,3,19,4,2,12.3
96,total-mean,16,13,13,6,15,7,3,14,8,4,9.9
97,total-max,7,8,7,3,7,3,3,4,6,5,5.3
98,total-min,17,9,11,3,10,4,1,14,3,5,7.7
99,total-sum,32,16,19,23,31,6,14,29,25,19,21.4
100,total-std,9,12,7,3,8,5,1,9,5,9,6.8
101,total-skew,21,8,6,2,6,3,0,19,2,5,7.2
