,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,importance
0,month-mode,179,61,99,115,168,136,72,111,139,72,115.2
1,year_month-mode,192,106,121,135,218,148,127,125,186,70,142.8
2,order_ts-first,336,137,188,229,298,232,173,217,298,132,224.0
3,order_ts-last,363,183,251,221,323,264,197,239,313,160,251.4
4,order_ts_diff-mean,118,39,48,79,113,80,61,81,115,63,79.7
5,order_ts_diff-max,295,152,175,236,298,234,157,218,269,165,219.9
6,order_ts_diff-sum,156,78,63,81,149,104,71,76,155,61,99.4
7,order_ts_diff-count,95,37,59,57,117,61,46,69,88,31,66.0
8,order_ts_diff-std,220,77,114,90,182,129,96,111,139,88,124.6
9,order_ts_diff-skew,209,73,96,120,190,112,93,116,194,74,127.7
10,quantity_diff-mean,204,108,131,167,248,167,112,179,232,122,167.0
11,quantity_diff-max,107,51,46,61,112,58,60,65,103,49,71.2
12,quantity_diff-min,124,37,49,55,120,93,54,64,92,41,72.9
13,quantity_diff-sum,161,82,89,89,155,107,66,108,136,70,106.3
14,quantity_diff-count,32,12,17,26,24,16,21,13,31,7,19.9
15,quantity_diff-std,174,51,72,84,209,121,75,113,140,45,108.4
16,quantity_diff-skew,357,162,214,263,341,250,192,302,353,160,259.4
17,price_diff-mean,217,85,100,178,265,175,99,156,206,77,155.8
18,price_diff-max,156,49,88,98,154,138,65,94,138,67,104.7
19,price_diff-min,161,52,101,120,168,89,86,96,149,46,106.8
20,price_diff-sum,201,80,84,115,221,126,70,120,176,45,123.8
21,price_diff-count,5,3,4,6,7,3,7,3,7,3,4.8
22,price_diff-std,206,91,99,141,259,162,88,123,220,88,147.7
23,price_diff-skew,324,106,114,213,333,217,139,188,335,111,208.0
24,total_diff-mean,168,74,87,130,218,128,77,121,169,84,125.6
25,total_diff-max,149,54,92,111,211,126,78,103,170,81,117.5
26,total_diff-min,181,48,79,73,247,127,89,100,157,49,115.0
27,total_diff-sum,189,90,103,116,169,135,97,119,160,93,127.1
28,total_diff-std,142,52,62,94,198,132,73,105,139,41,103.8
29,total_diff-skew,269,108,122,166,310,193,114,144,235,88,174.9
30,order_id-nunique,125,76,79,97,159,109,102,124,136,84,109.1
31,product_id-nunique,80,40,27,54,76,53,44,50,69,24,51.7
32,cumsum_total_by_cust_id-mean,165,62,58,81,119,98,56,91,117,62,90.9
33,cumsum_total_by_cust_id-max,99,40,48,78,90,59,50,72,99,52,68.7
34,cumsum_total_by_cust_id-min,235,120,113,159,239,168,86,179,212,82,159.3
35,cumsum_total_by_cust_id-sum,91,36,67,80,96,68,62,68,72,53,69.3
36,cumsum_total_by_cust_id-std,118,40,78,90,110,71,64,85,109,43,80.8
37,cumsum_total_by_cust_id-skew,322,113,150,185,342,238,157,198,278,110,209.3
38,cumsum_quantity_by_cust_id-mean,127,49,50,66,89,64,45,58,98,49,69.5
39,cumsum_quantity_by_cust_id-max,66,25,43,45,74,46,49,68,70,29,51.5
40,cumsum_quantity_by_cust_id-min,116,39,56,68,103,73,45,76,96,37,70.9
41,cumsum_quantity_by_cust_id-sum,76,48,70,62,96,61,37,66,89,49,65.4
42,cumsum_quantity_by_cust_id-std,107,31,44,47,80,45,33,39,92,29,54.7
43,cumsum_quantity_by_cust_id-skew,239,77,111,151,321,191,144,164,228,104,173.0
44,cumsum_price_by_cust_id-mean,105,34,42,64,103,79,40,70,96,50,68.3
45,cumsum_price_by_cust_id-max,92,29,37,63,89,52,45,50,86,38,58.1
46,cumsum_price_by_cust_id-min,164,43,90,93,175,99,82,84,144,49,102.3
47,cumsum_price_by_cust_id-sum,107,41,38,52,106,55,46,73,83,44,64.5
48,cumsum_price_by_cust_id-std,83,30,38,41,91,59,41,42,85,35,54.5
49,cumsum_price_by_cust_id-skew,291,109,144,192,352,247,126,183,298,125,206.7
50,cumsum_total_by_prod_id-mean,191,103,75,88,176,104,90,94,140,75,113.6
51,cumsum_total_by_prod_id-max,265,161,154,181,280,204,139,159,238,130,191.1
52,cumsum_total_by_prod_id-min,168,75,54,111,184,114,53,124,166,58,110.7
53,cumsum_total_by_prod_id-sum,165,133,189,157,222,180,165,149,202,143,170.5
54,cumsum_total_by_prod_id-std,191,87,115,138,218,159,128,132,180,94,144.2
55,cumsum_total_by_prod_id-skew,169,90,104,125,209,147,102,107,145,60,125.8
56,cumsum_quantity_by_prod_id-mean,158,67,65,100,147,102,81,75,122,73,99.0
57,cumsum_quantity_by_prod_id-max,76,65,55,75,105,88,67,95,94,70,79.0
58,cumsum_quantity_by_prod_id-min,269,82,128,126,291,160,112,122,229,82,160.1
59,cumsum_quantity_by_prod_id-sum,179,99,143,122,155,180,146,138,162,123,144.7
60,cumsum_quantity_by_prod_id-std,235,83,126,113,215,127,115,143,199,82,143.8
61,cumsum_quantity_by_prod_id-skew,234,117,151,179,247,145,129,187,201,116,170.6
62,cumsum_price_by_prod_id-mean,126,40,55,56,138,78,47,63,101,50,75.4
63,cumsum_price_by_prod_id-max,43,17,28,32,54,47,25,47,50,22,36.5
64,cumsum_price_by_prod_id-min,190,75,93,122,244,155,94,155,199,80,140.7
65,cumsum_price_by_prod_id-sum,172,132,158,128,170,126,132,130,168,86,140.2
66,cumsum_price_by_prod_id-std,155,81,101,97,155,115,109,120,163,81,117.7
67,cumsum_price_by_prod_id-skew,116,49,56,90,144,86,63,92,168,36,90.0
68,cumsum_total_by_order_id-mean,215,95,80,134,185,132,90,95,178,72,127.6
69,cumsum_total_by_order_id-max,150,82,95,85,153,114,78,104,145,75,108.1
70,cumsum_total_by_order_id-min,185,76,110,113,220,125,77,114,174,69,126.3
71,cumsum_total_by_order_id-sum,99,39,64,52,134,76,59,72,101,37,73.3
72,cumsum_total_by_order_id-std,148,82,84,118,165,131,69,87,158,79,112.1
73,cumsum_total_by_order_id-skew,255,70,92,126,288,178,98,155,220,54,153.6
74,cumsum_quantity_by_order_id-mean,161,39,66,87,148,89,70,85,152,40,93.7
75,cumsum_quantity_by_order_id-max,147,69,64,77,144,92,51,74,120,53,89.1
76,cumsum_quantity_by_order_id-min,116,36,67,71,106,92,73,96,114,58,82.9
77,cumsum_quantity_by_order_id-sum,136,53,54,54,149,99,66,86,97,40,83.4
78,cumsum_quantity_by_order_id-std,186,56,71,109,209,132,99,120,163,57,120.2
79,cumsum_quantity_by_order_id-skew,286,106,150,180,313,211,119,178,293,134,197.0
80,cumsum_price_by_order_id-mean,225,72,130,121,181,135,88,138,189,58,133.7
81,cumsum_price_by_order_id-max,110,39,61,84,110,72,76,68,95,47,76.2
82,cumsum_price_by_order_id-min,141,54,68,85,168,108,56,60,118,50,90.8
83,cumsum_price_by_order_id-sum,132,55,71,69,130,85,53,78,138,43,85.4
84,cumsum_price_by_order_id-std,127,52,64,72,150,86,70,97,124,43,88.5
85,cumsum_price_by_order_id-skew,323,108,141,181,352,211,116,182,275,124,201.3
86,quantity-mean,139,56,56,77,143,115,58,85,132,50,91.1
87,quantity-max,40,22,23,21,43,27,15,25,31,21,26.8
88,quantity-min,74,39,50,42,81,46,28,50,72,43,52.5
89,quantity-sum,49,46,35,42,48,38,37,27,38,30,39.0
90,quantity-std,193,77,83,109,193,125,80,111,153,53,117.7
91,quantity-skew,264,113,123,212,313,194,144,170,261,104,189.8
92,price-mean,246,89,115,137,279,163,114,170,219,82,161.4
93,price-max,58,18,35,38,43,36,26,20,37,17,32.8
94,price-min,140,36,65,78,128,65,51,78,105,47,79.3
95,price-sum,26,8,8,12,15,11,5,12,17,4,11.8
96,price-std,204,81,111,124,210,139,97,135,187,85,137.3
97,price-skew,338,95,162,230,396,252,177,174,330,130,228.4
98,total-mean,220,69,100,105,206,151,90,85,156,57,123.9
99,total-max,117,42,34,44,129,75,43,59,75,27,64.5
100,total-min,181,73,97,97,182,121,84,135,183,66,121.9
101,total-sum,103,47,79,103,105,59,77,72,102,37,78.4
102,total-std,130,36,68,84,151,110,52,79,111,42,86.3
103,total-skew,260,107,124,180,286,172,103,133,251,83,169.9
