,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,importance
0,month-mode,193,75,115,92,136,115,69,127,152,54,112.8
1,year_month-mode,183,114,153,125,224,146,134,168,174,85,150.6
2,order_ts-first,336,141,236,211,265,237,164,257,305,142,229.4
3,order_ts-last,311,191,264,239,274,276,190,292,287,156,248.0
4,order_ts_diff-mean,116,49,78,63,112,99,30,107,110,38,80.2
5,order_ts_diff-max,297,151,210,234,273,252,176,261,274,172,230.0
6,order_ts_diff-sum,135,77,105,99,151,103,83,134,183,65,113.5
7,order_ts_diff-count,90,41,56,53,75,42,49,78,86,25,59.5
8,order_ts_diff-std,165,83,159,91,155,136,91,154,163,75,127.2
9,order_ts_diff-skew,203,86,120,106,175,101,71,165,191,62,128.0
10,quantity_diff-mean,219,140,154,160,206,192,130,235,223,96,175.5
11,quantity_diff-max,102,58,69,58,98,68,69,116,97,52,78.7
12,quantity_diff-min,116,46,82,64,87,100,46,91,93,37,76.2
13,quantity_diff-sum,146,70,93,99,129,102,47,124,143,63,101.6
14,quantity_diff-std,205,69,129,89,161,134,78,168,154,50,123.7
15,quantity_diff-skew,367,173,248,230,320,265,154,311,328,129,252.5
16,price_diff-mean,225,94,153,171,245,195,90,239,222,60,169.4
17,price_diff-max,137,64,113,116,144,126,61,143,143,48,109.5
18,price_diff-min,173,72,115,104,138,101,80,159,174,44,116.0
19,price_diff-sum,230,85,114,110,147,137,79,196,184,69,135.1
20,price_diff-std,206,95,134,127,203,143,91,181,225,54,145.9
21,price_diff-skew,316,110,194,205,306,227,117,289,325,80,216.9
22,total_diff-mean,187,99,111,113,189,131,73,160,159,66,128.8
23,total_diff-max,163,53,132,118,198,118,82,185,149,52,125.0
24,total_diff-min,182,48,118,78,202,139,68,175,158,42,121.0
25,total_diff-sum,188,84,136,117,152,147,103,174,178,78,135.7
26,total_diff-std,156,45,114,95,176,138,60,159,128,36,110.7
27,total_diff-skew,234,117,180,148,278,183,94,243,255,82,181.4
28,order_id-nunique,122,98,81,107,116,95,98,143,118,61,103.9
29,product_id-nunique,99,36,48,55,65,54,53,54,74,31,56.9
30,cumsum_total_by_cust_id-mean,143,46,83,65,98,82,57,125,110,58,86.7
31,cumsum_total_by_cust_id-max,93,38,55,69,82,54,41,86,77,54,64.9
32,cumsum_total_by_cust_id-min,241,144,156,171,227,175,89,213,226,93,173.5
33,cumsum_total_by_cust_id-sum,110,35,67,48,80,85,68,78,93,40,70.4
34,cumsum_total_by_cust_id-std,131,65,81,76,95,92,57,103,120,26,84.6
35,cumsum_total_by_cust_id-skew,286,122,224,180,280,230,154,300,282,109,216.7
36,cumsum_quantity_by_cust_id-mean,118,49,77,54,89,56,47,79,107,41,71.7
37,cumsum_quantity_by_cust_id-max,58,48,44,41,69,68,40,59,66,35,52.8
38,cumsum_quantity_by_cust_id-min,91,46,64,59,77,59,44,95,87,38,66.0
39,cumsum_quantity_by_cust_id-sum,76,43,88,71,76,78,45,77,86,51,69.1
40,cumsum_quantity_by_cust_id-std,80,38,52,38,76,70,34,60,84,22,55.4
41,cumsum_quantity_by_cust_id-skew,254,108,166,154,286,209,127,197,221,84,180.6
42,cumsum_price_by_cust_id-mean,89,36,69,56,101,78,42,102,101,32,70.6
43,cumsum_price_by_cust_id-max,81,27,53,62,55,40,28,59,89,31,52.5
44,cumsum_price_by_cust_id-min,120,69,117,84,145,100,75,132,135,41,101.8
45,cumsum_price_by_cust_id-sum,104,31,50,69,104,74,34,94,80,35,67.5
46,cumsum_price_by_cust_id-std,94,31,65,46,84,61,33,68,77,31,59.0
47,cumsum_price_by_cust_id-skew,294,104,187,168,314,266,146,270,261,108,211.8
48,cumsum_total_by_prod_id-mean,152,93,110,105,165,104,86,126,146,60,114.7
49,cumsum_total_by_prod_id-max,221,156,187,166,258,226,151,252,222,130,196.9
50,cumsum_total_by_prod_id-min,165,69,102,109,168,109,70,155,162,61,117.0
51,cumsum_total_by_prod_id-sum,170,137,193,139,202,161,155,165,201,118,164.1
52,cumsum_total_by_prod_id-std,195,89,170,109,188,168,130,196,197,81,152.3
53,cumsum_total_by_prod_id-skew,201,87,141,121,191,148,105,170,168,51,138.3
54,cumsum_quantity_by_prod_id-mean,135,76,83,83,158,110,73,122,130,44,101.4
