iter	Passed	Remaining
0	17	4304
1	32	4072
2	50	4128
3	65	4023
4	94	4619
5	120	4892
6	140	4862
7	160	4842
8	178	4780
9	196	4716
10	209	4556
11	223	4436
12	236	4309
13	250	4217
14	263	4128
15	276	4046
16	285	3912
17	295	3810
18	304	3701
19	313	3603
20	322	3511
21	331	3432
22	339	3354
23	348	3284
24	358	3223
25	374	3224
26	390	3227
27	404	3203
28	417	3182
29	431	3161
30	443	3136
31	459	3130
32	472	3109
33	481	3058
34	490	3012
35	499	2967
36	507	2923
37	516	2883
38	525	2841
39	533	2801
40	542	2763
41	550	2728
42	559	2693
43	568	2659
44	576	2626
45	585	2596
46	593	2565
47	602	2536
48	611	2508
49	619	2479
50	628	2452
51	637	2427
52	646	2401
53	655	2378
54	666	2362
55	682	2365
56	697	2360
57	706	2338
58	715	2316
59	724	2294
60	733	2272
61	742	2249
62	750	2228
63	759	2206
64	767	2185
65	776	2164
66	784	2143
67	793	2122
68	801	2103
69	810	2083
70	818	2064
71	827	2046
72	836	2028
73	845	2009
74	853	1991
75	862	1973
76	870	1956
77	879	1939
78	887	1921
79	896	1905
80	905	1888
81	913	1872
82	922	1855
83	930	1839
84	939	1824
85	948	1808
86	957	1793
87	965	1778
88	974	1762
89	982	1747
90	991	1732
91	1000	1718
92	1008	1703
93	1017	1688
94	1025	1673
95	1034	1659
96	1043	1645
97	1051	1631
98	1060	1617
99	1069	1603
100	1078	1590
101	1086	1577
102	1095	1563
103	1104	1549
104	1112	1536
105	1121	1523
106	1130	1510
107	1139	1497
108	1147	1484
109	1156	1471
110	1165	1459
111	1174	1447
112	1185	1437
113	1199	1431
114	1208	1419
115	1217	1406
116	1226	1394
117	1235	1381
118	1243	1369
119	1252	1357
120	1261	1344
121	1269	1332
122	1278	1320
123	1288	1309
124	1298	1298
125	1307	1286
126	1320	1279
127	1335	1272
128	1344	1260
129	1353	1249
130	1361	1236
131	1370	1224
132	1378	1213
133	1387	1201
134	1396	1189
135	1405	1178
136	1414	1166
137	1423	1155
138	1433	1145
139	1444	1134
140	1453	1123
141	1462	1112
142	1470	1100
143	1479	1089
144	1488	1077
145	1496	1066
146	1505	1054
147	1513	1043
148	1522	1032
149	1531	1020
150	1539	1009
151	1548	998
152	1556	987
153	1565	975
154	1574	964
155	1582	953
156	1591	942
157	1599	931
158	1608	920
159	1617	909
160	1626	898
161	1634	887
162	1643	877
163	1652	866
164	1661	855
165	1669	844
166	1678	834
167	1686	823
168	1695	812
169	1704	802
170	1717	793
171	1732	785
172	1742	775
173	1751	764
174	1760	754
175	1768	743
176	1777	732
177	1785	722
178	1794	711
179	1803	701
180	1812	690
181	1820	680
182	1829	669
183	1838	659
184	1846	648
185	1855	638
186	1864	628
187	1872	617
188	1881	607
189	1889	596
190	1898	586
191	1907	576
192	1915	565
193	1924	555
194	1933	545
195	1942	535
196	1951	525
197	1960	514
198	1968	504
199	1977	494
200	1985	484
201	1994	474
202	2003	463
203	2011	453
204	2020	443
205	2028	433
206	2037	423
207	2046	413
208	2054	403
209	2063	393
210	2072	383
211	2081	373
212	2089	362
213	2098	353
214	2107	343
215	2115	333
216	2123	322
217	2132	313
218	2140	303
219	2149	293
220	2158	283
221	2166	273
222	2175	263
223	2184	253
224	2193	243
225	2202	233
226	2210	223
227	2219	214
228	2228	204
229	2241	194
230	2254	185
231	2267	175
232	2279	166
233	2293	156
234	2306	147
235	2319	137
236	2334	128
237	2347	118
238	2361	108
239	2369	98
240	2378	88
241	2387	78
242	2397	69
243	2405	59
244	2414	49
245	2427	39
246	2438	29
247	2457	19
248	2470	9
249	2486	0
