iter	Passed	Remaining
0	48	484790
1	97	487474
2	140	466532
3	210	525076
4	256	513525
5	306	511352
6	346	494840
7	380	474797
8	416	462015
9	448	447908
10	480	436673
11	512	426786
12	545	419166
13	578	412574
14	611	406960
15	642	401171
16	674	396150
17	706	392069
18	741	389396
19	778	388388
20	815	387739
21	856	388556
22	895	388512
23	931	387248
24	967	386063
25	1004	385493
26	1046	386455
27	1088	387599
28	1126	387467
29	1165	387445
30	1208	388755
31	1247	388677
32	1286	388558
33	1322	387568
34	1359	386954
35	1390	384784
36	1423	383236
37	1457	382212
38	1500	383230
39	1541	383787
40	1577	383063
41	1616	383235
42	1652	382570
43	1686	381662
44	1719	380435
45	1751	378979
46	1783	377706
47	1829	379310
48	1871	380068
49	1910	380201
50	1955	381506
51	1993	381341
52	2033	381590
53	2073	381967
54	2119	383194
55	2164	384372
56	2217	386757
57	2264	388152
58	2303	388190
59	2336	387065
60	2369	386017
61	2401	384914
62	2431	383510
63	2462	382293
64	2494	381254
65	2528	380583
66	2563	380115
67	2594	378980
68	2632	378893
69	2665	378140
70	2695	376936
71	2729	376352
72	2764	375913
73	2800	375700
74	2838	375618
75	2875	375531
76	2910	375051
77	2941	374153
78	2979	374117
79	3011	373477
80	3054	373986
81	3088	373562
82	3126	373538
83	3169	374173
84	3212	374688
85	3251	374784
86	3283	374075
87	3317	373679
88	3353	373485
89	3392	373500
90	3428	373350
91	3466	373305
92	3499	372797
93	3537	372826
94	3571	372424
95	3609	372375
96	3651	372768
97	3690	372845
98	3727	372777
99	3762	372497
100	3798	372257
101	3829	371640
102	3864	371375
103	3912	372291
104	3960	373211
105	4005	373891
106	4050	374502
107	4082	373901
108	4115	373467
109	4146	372776
110	4180	372461
111	4212	371939
112	4244	371334
113	4285	371626
114	4350	373926
115	4400	374957
116	4438	374936
117	4479	375099
118	4515	374930
119	4550	374681
120	4595	375169
121	4635	375300
122	4679	375799
123	4722	376144
124	4762	376256
125	4805	376562
126	4846	376758
127	4886	376863
128	4919	376451
129	4957	376421
130	4993	376180
131	5030	376086
